"binning","n_fits","n_usable","n_converged","n_hit_max","n_degenerate","n_inla_failure","n_vb_aborted","n_nan_inf_logl","median_iter","max_iter","median_iter_diff","median_runtime","max_runtime","median_runtime_ratio"
"N8",3,3,3,0,0,0,0,0,26,27,0,0.929320331414541,1.48505243460337,1
"N10",3,3,3,0,0,0,0,0,26,27,0,0.936424382527669,1.48898321787516,1.00764435133181
"N12",3,3,3,0,0,0,0,0,26,27,0,1.08563034931819,1.55668355226517,1.08511951323903
"N14",3,3,3,0,0,0,0,0,26,26,0,1.09946910142899,1.52034957011541,1.16301816598372
"N16",3,3,3,0,0,0,0,0,26,26,0,1.10189355214437,1.52601523001989,1.14699456897704
