"truth_form","competitor_form","rep","delta_lml","bf_truth_vs_alt","bf_alt_vs_truth"
"ou","mse",37,-1.36933771736221,0.254275305920538,3.93274524389917
"mse","ou",7,-0.543635643689413,0.580633434060113,1.72225700646868
