"M0","form","n_unique","range","max_lag1_change","max_lag2_change"
3,"mse",2,0.0261359585715581,0.0261359585715581,1.77398305822862e-07
3,"rate_state",10,1.46504807566771,1.46474938402207,0.000168026035225921
3.3,"ou",4,0.281027523920102,0.281027523920102,5.1760957830993e-07
3.3,"mse",2,0.0098929842661164,0.00989293268503388,1.51311269291909e-07
3.3,"rate_state",10,20.0106376789172,20.0106376789172,0.000305538379961945
