"M0","form","effect","iteration","mode","sd","new_linearisation"
3,"mse","th.mu",191,-1.17758498894362,0.0327108926080358,-1.17753311346327
3,"mse","th.K",191,2.84230376426975,0.335501659622013,2.8284353112357
3,"mse","th.alpha",191,0.439607865223325,0.00884339757122433,0.439573198405009
3,"mse","th.d",191,-2.29744549770502,0.0960442852460864,-2.29253644918434
3,"mse","th.rho",191,1.55351816640627,0.717081678832918,1.58661603905028
3,"mse","th.gamma",191,-1.781605690174,0.334867241912238,-1.79677882200244
3,"mse","th.mu",192,-1.17731443251742,0.032694164062162,-1.17741017688208
3,"mse","th.K",192,2.76997081794846,0.342902035551346,2.79556813619171
3,"mse","th.alpha",192,0.439427040612129,0.00884128076735932,0.439491032401465
3,"mse","th.d",192,-2.27184156445091,0.0991981466862043,-2.28090233827694
3,"mse","th.rho",192,1.72614550778431,0.686882517396084,1.66505577597139
3,"mse","th.gamma",192,-1.86074363545333,0.325851502231812,-1.8327381299882
3,"mse","th.mu",193,-1.17758499276572,0.0327108960507115,-1.17753311800358
3,"mse","th.K",193,2.84230382810852,0.335501658440903,2.82843550647098
3,"mse","th.alpha",193,0.439607858447553,0.00884339749220752,0.439573191555584
3,"mse","th.d",193,-2.2974454853158,0.0960442854205541,-2.2925364816267
3,"mse","th.rho",193,1.55351832051469,0.717081661250871,1.58661587922121
3,"mse","th.gamma",193,-1.78160576172462,0.334867237058362,-1.79677875050653
3,"mse","th.mu",194,-1.17731443504008,0.032694164974105,-1.17741018053178
3,"mse","th.K",194,2.76997074040405,0.342902056967216,2.79556824322172
3,"mse","th.alpha",194,0.439427034266058,0.0088412808277736,0.439491025997867
3,"mse","th.d",194,-2.27184150958972,0.09919815451305,-2.28090234469889
3,"mse","th.rho",194,1.72614584084459,0.686882457898163,1.6650557377607
3,"mse","th.gamma",194,-1.86074379040503,0.325851484183812,-1.83273811452223
3,"mse","th.mu",195,-1.17758499690354,0.0327108967004841,-1.17753312225052
3,"mse","th.K",195,2.84230392380024,0.335501664231509,2.82843567342275
3,"mse","th.alpha",195,0.439607853008086,0.00884339754291142,0.439573185999743
3,"mse","th.d",195,-2.29744548939962,0.096044287596728,-2.29253651043749
3,"mse","th.rho",195,1.55351837183414,0.717081651105408,1.58661574193697
3,"mse","th.gamma",195,-1.78160578759829,0.334867234545532,-1.7967786898303
3,"mse","th.mu",196,-1.17731443787642,0.0326941608396833,-1.17741018428449
3,"mse","th.K",196,2.76997067864814,0.342902063348347,2.79556836147451
3,"mse","th.alpha",196,0.439427028611691,0.00884128054991406,0.439491020586316
3,"mse","th.d",196,-2.27184145682693,0.0991981581579469,-2.28090235592459
3,"mse","th.rho",196,1.72614625230189,0.68688240052226,1.66505571833893
3,"mse","th.gamma",196,-1.86074398506582,0.325851466031831,-1.83273811000082
3,"mse","th.mu",197,-1.1775850010878,0.0327108973459451,-1.1775331264253
3,"mse","th.K",197,2.84230397171096,0.335501665076726,2.82843577390559
3,"mse","th.alpha",197,0.439607848459151,0.0088433974314167,0.439573181274076
3,"mse","th.d",197,-2.29744548769107,0.0960442877773594,-2.29253652378759
3,"mse","th.rho",197,1.55351835697256,0.71708164738503,1.58661565007075
3,"mse","th.gamma",197,-1.78160577991261,0.334867234038543,-1.79677864840251
3,"mse","th.mu",198,-1.17731444010113,0.0326941611963664,-1.177410187602
3,"mse","th.K",198,2.7699706499673,0.342902074467399,2.79556845324282
3,"mse","th.alpha",198,0.439427024271322,0.0088412806214015,0.43949101623699
3,"mse","th.d",198,-2.27184142054013,0.0991981627281039,-2.2809023639883
3,"mse","th.rho",198,1.7261465783879,0.686882366854429,1.66505570893753
3,"mse","th.gamma",198,-1.86074414074831,0.325851455767645,-1.8327381094737
3,"mse","th.mu",199,-1.17758500406142,0.0327108963113129,-1.17753312978406
3,"mse","th.K",199,2.84230401658356,0.335501668615634,2.82843590837852
3,"mse","th.alpha",199,0.43960784428276,0.00884339751626759,0.439573177235563
3,"mse","th.d",199,-2.29744547786253,0.0960442883990957,-2.29253654605864
3,"mse","th.rho",199,1.55351852075245,0.717081647327969,1.58661558183545
3,"mse","th.gamma",199,-1.78160585754822,0.33486723443008,-1.7967786200396
3,"mse","th.mu",200,-1.17731444233298,0.0326941645150225,-1.17753312978406
3,"mse","th.K",200,2.76997065040984,0.342902082573891,2.82843590837852
3,"mse","th.alpha",200,0.439427020222897,0.00884128061664125,0.439573177235563
3,"mse","th.d",200,-2.27184140469813,0.0991981650833078,-2.29253654605864
3,"mse","th.rho",200,1.72614663753437,0.68688234169663,1.58661558183545
3,"mse","th.gamma",200,-1.86074416702426,0.325851448532107,-1.7967786200396
3,"rate_state","th.mu",191,-1.0419631961829,0.0280078465672913,-1.04194923975264
3,"rate_state","th.K",191,3.99812594608956,0.339250525794206,3.99112844126983
3,"rate_state","th.alpha",191,0.464507792962081,0.00917574340641,0.464478021439607
3,"rate_state","th.B",191,2.66763708955643,0.221938963756993,2.66319046568907
3,"rate_state","th.ta",191,-2.61984361868552,0.176506635439533,-2.62037687013708
3,"rate_state","th.mu",192,-1.03880236144376,0.0278270673226924,-1.03882679498707
3,"rate_state","th.K",192,2.41320550379378,0.422116354480694,2.4254570892193
3,"rate_state","th.alpha",192,0.457765136588463,0.00905582328207117,0.457817257943855
3,"rate_state","th.B",192,1.66049639745366,0.260611391266218,1.66828169022106
3,"rate_state","th.ta",192,-2.7406128574325,0.18944307865426,-2.73967930013728
3,"rate_state","th.mu",193,-1.04196344073612,0.0280078575778915,-1.04194948352181
3,"rate_state","th.K",193,3.99812522702067,0.33925001880281,3.9911272846302
3,"rate_state","th.alpha",193,0.464508289734236,0.00917574623386549,0.464478516475736
3,"rate_state","th.B",193,2.6676465257981,0.221938711082568,2.66319962604962
3,"rate_state","th.ta",193,-2.61983314587065,0.176506640382194,-2.62036642842602
3,"rate_state","th.mu",194,-1.0388025655426,0.0278270790003846,-1.03882699550496
3,"rate_state","th.K",194,2.41318826819831,0.422116771907561,2.42543802844635
3,"rate_state","th.alpha",194,0.457765534728033,0.00905582425222774,0.457817648539849
3,"rate_state","th.B",194,1.66049480290657,0.260611517403129,1.66827894003427
3,"rate_state","th.ta",194,-2.74060439757944,0.189443245508869,-2.73967097348668
3,"rate_state","th.mu",195,-1.04196365303208,0.0280078582509703,-1.04194969583893
3,"rate_state","th.K",195,3.99812562697314,0.339249495504529,3.99112763488191
3,"rate_state","th.alpha",195,0.464508738914012,0.00917574900193342,0.464478965551798
3,"rate_state","th.B",195,2.66765564200291,0.221938444645197,2.66320871289691
3,"rate_state","th.ta",195,-2.61982372039128,0.176506628628654,-2.62035700502461
3,"rate_state","th.mu",196,-1.03880274183973,0.0278270801282302,-1.03882716954414
3,"rate_state","th.K",196,2.41317095061591,0.422117232067788,2.42541957562618
3,"rate_state","th.alpha",196,0.457765885123219,0.00905582516542239,0.457817994287972
3,"rate_state","th.B",196,1.66049219429846,0.260611682627669,1.66827561367263
3,"rate_state","th.ta",196,-2.74059695750695,0.189443405225584,-2.7396636149736
3,"rate_state","th.mu",197,-1.04196384479636,0.0280078666683484,-1.04194988889074
3,"rate_state","th.K",197,3.99812678879313,0.339248937170413,3.99112939452021
3,"rate_state","th.alpha",197,0.464509148883938,0.00917575119275449,0.464479378150735
3,"rate_state","th.B",197,2.66766437866006,0.221938145189621,2.66321783122771
3,"rate_state","th.ta",197,-2.61981513279868,0.176506604549085,-2.62034837069304
3,"rate_state","th.mu",198,-1.0388028990622,0.0278270883673284,-1.03882732902699
3,"rate_state","th.K",198,2.41315324652303,0.42211771714485,2.42540301656842
3,"rate_state","th.alpha",198,0.457766195679872,0.00905582583084728,0.457818309865277
3,"rate_state","th.B",198,1.66048835484333,0.260611927886931,1.66827250640927
3,"rate_state","th.ta",198,-2.74059039132447,0.189443566876432,-2.73965695699823
3,"rate_state","th.mu",199,-1.0419640300359,0.0280078725783728,-1.04195007310641
3,"rate_state","th.K",199,3.99812776175777,0.339248436111099,3.99112983357977
3,"rate_state","th.alpha",199,0.464509522314318,0.00917575341414331,0.464479749384068
3,"rate_state","th.B",199,2.66767236184469,0.22193789660107,2.66322547536259
3,"rate_state","th.ta",199,-2.61980734307179,0.176506577401705,-2.62034062074354
3,"rate_state","th.mu",200,-1.03880304070874,0.0278270918524949,-1.04195007310641
3,"rate_state","th.K",200,2.41313864865752,0.422118099118696,3.99112983357977
3,"rate_state","th.alpha",200,0.457766483500613,0.00905582655805169,0.464479749384068
3,"rate_state","th.B",200,1.66048545689542,0.260612204395933,2.66322547536259
3,"rate_state","th.ta",200,-2.74058428698121,0.189443695206798,-2.62034062074354
3.3,"ou","th.mu",191,-1.36708183882764,0.0417052588800165,-1.36773378420376
3.3,"ou","th.K",191,3.32730830702219,0.360452283880886,3.24657363161498
3.3,"ou","th.alpha",191,0.491821826745616,0.0127559950670331,0.491383858880684
3.3,"ou","th.c",191,-2.43255103844365,0.0856278238923667,-2.41075528458057
3.3,"ou","th.p",191,-0.73105854725522,0.0663882685598569,-0.719098832019469
3.3,"ou","th.mu",192,-1.37417797389905,0.0423760373398039,-1.37436415496951
3.3,"ou","th.K",192,2.44854735674699,0.412839151358557,2.42549133370387
3.3,"ou","th.alpha",192,0.487054741736423,0.0126120785176755,0.48692966787886
3.3,"ou","th.c",192,-2.19531397383294,0.0900763990301632,-2.18908959252938
3.3,"ou","th.p",192,-0.600882378265976,0.0693670730870029,-0.597466950268612
3.3,"ou","th.mu",193,-1.36708183862853,0.0417052592224398,-1.36773378404154
3.3,"ou","th.K",193,3.32730833546731,0.360452280977185,3.24657365845803
3.3,"ou","th.alpha",193,0.491821826048936,0.0127559949269015,0.491383858247301
3.3,"ou","th.c",193,-2.43255104224722,0.0856278229284895,-2.41075528826526
3.3,"ou","th.p",193,-0.731058548289818,0.0663882682629428,-0.719098833074529
3.3,"ou","th.mu",194,-1.37417797425031,0.0423760362516785,-1.37436415530234
3.3,"ou","th.K",194,2.44854733408587,0.412839150300114,2.42549131373101
3.3,"ou","th.alpha",194,0.487054741091851,0.0126120785002697,0.486929667256307
3.3,"ou","th.c",194,-2.1953139669143,0.0900763987173719,-2.18908958641626
3.3,"ou","th.p",194,-0.600882374311976,0.0693670731061906,-0.59746694677999
3.3,"ou","th.mu",195,-1.36708183794381,0.0417052579970039,-1.36773378347751
3.3,"ou","th.K",195,3.32730833821762,0.360452278144529,3.24657365550813
3.3,"ou","th.alpha",195,0.491821825940572,0.0127559948669696,0.491383858073018
3.3,"ou","th.c",195,-2.43255104330062,0.0856278224828931,-2.4107552876874
3.3,"ou","th.p",195,-0.731058548466552,0.0663882681591702,-0.719098832380069
3.3,"ou","th.mu",196,-1.37417797369665,0.0423760362595975,-1.374364154758
3.3,"ou","th.K",196,2.44854733379963,0.412839155331026,2.42549131240457
3.3,"ou","th.alpha",196,0.487054740942988,0.0126120786720393,0.486929667102118
3.3,"ou","th.c",196,-2.195313966031,0.0900763996458163,-2.18908958522254
3.3,"ou","th.p",196,-0.600882373287874,0.0693670728394471,-0.597466945580876
3.3,"ou","th.mu",197,-1.36708183800277,0.0417052590515766,-1.36773378347706
3.3,"ou","th.K",197,3.32730831898492,0.360452284500626,3.24657363854795
3.3,"ou","th.alpha",197,0.491821826306832,0.0127559952409095,0.491383858396316
3.3,"ou","th.c",197,-2.43255104031463,0.085627824142988,-2.4107552850426
3.3,"ou","th.p",197,-0.731058547375123,0.0663882681509073,-0.719098831378171
3.3,"ou","th.mu",198,-1.37417797369014,0.0423760353233181,-1.37436415483389
3.3,"ou","th.K",198,2.44854738773887,0.4128391466847,2.42549135816734
3.3,"ou","th.alpha",198,0.487054740976214,0.0126120784385376,0.486929667071496
3.3,"ou","th.c",198,-2.19531397845273,0.0900763982622376,-2.18908959531918
3.3,"ou","th.p",198,-0.600882380370714,0.0693670726241773,-0.597466951382625
