"M0","n_fit","b_hat","beta","delta_ou_mse","delta_ou_rs","delta_mse_rs"
2.5,3339,0.793967003616361,1.82817658685618,3.51315531096589,96.6114449322813,93.0982896213154
3,1325,0.859173716737054,1.97832059245103,5.50071117277275,84.428373486795,78.9276623140222
3.3,775,1.0070257711008,2.31876252879754,6.09580962367545,22.32619425093,16.2303846272546
