"kernel","rep","seed","n_events","file"
"mse",45,2045,3490,"mse_045.rds"
"mse",46,2046,4203,"mse_046.rds"
"mse",47,2047,1576,"mse_047.rds"
"mse",48,2048,2081,"mse_048.rds"
"mse",49,2049,1586,"mse_049.rds"
"mse",50,2050,1770,"mse_050.rds"
"mse",51,2051,1761,"mse_051.rds"
"mse",52,2052,3320,"mse_052.rds"
"mse",53,2053,1557,"mse_053.rds"
"mse",54,2054,3885,"mse_054.rds"
"mse",55,2055,1934,"mse_055.rds"
"mse",56,2056,2471,"mse_056.rds"
"mse",57,2057,1757,"mse_057.rds"
"mse",58,2058,2159,"mse_058.rds"
"mse",59,2059,1492,"mse_059.rds"
"mse",60,2060,1400,"mse_060.rds"
"mse",61,2061,3731,"mse_061.rds"
"mse",62,2062,3623,"mse_062.rds"
"mse",63,2063,5351,"mse_063.rds"
"mse",64,2064,2565,"mse_064.rds"
"mse",65,2065,1682,"mse_065.rds"
"mse",66,2066,1374,"mse_066.rds"
"mse",67,2067,2314,"mse_067.rds"
"mse",68,2068,1565,"mse_068.rds"
"mse",69,2069,1632,"mse_069.rds"
"mse",70,2070,1711,"mse_070.rds"
"mse",71,2071,2589,"mse_071.rds"
"mse",72,2072,2197,"mse_072.rds"
"mse",73,2073,6006,"mse_073.rds"
"mse",74,2074,1530,"mse_074.rds"
"mse",75,2075,3527,"mse_075.rds"
"mse",76,2076,2445,"mse_076.rds"
"mse",77,2077,2249,"mse_077.rds"
"mse",78,2078,3255,"mse_078.rds"
"mse",79,2079,6002,"mse_079.rds"
"mse",80,2080,1743,"mse_080.rds"
"mse",81,2081,2629,"mse_081.rds"
"mse",82,2082,2297,"mse_082.rds"
"mse",83,2083,4638,"mse_083.rds"
"mse",84,2084,7611,"mse_084.rds"
"mse",85,2085,1746,"mse_085.rds"
"mse",86,2086,1794,"mse_086.rds"
"mse",87,2087,3163,"mse_087.rds"
"mse",88,2088,1415,"mse_088.rds"
"mse",89,2089,3208,"mse_089.rds"
"mse",90,2090,1806,"mse_090.rds"
"mse",91,2091,1751,"mse_091.rds"
"mse",92,2092,1728,"mse_092.rds"
"mse",93,2093,4495,"mse_093.rds"
"mse",94,2094,4456,"mse_094.rds"
"mse",95,2095,1577,"mse_095.rds"
"mse",96,2096,6053,"mse_096.rds"
"mse",97,2097,2280,"mse_097.rds"
"mse",98,2098,1787,"mse_098.rds"
"mse",99,2099,1763,"mse_099.rds"
"mse",100,2100,2273,"mse_100.rds"
"rate_state",1,3001,1361,"rate_state_001.rds"
"rate_state",2,3002,1798,"rate_state_002.rds"
"rate_state",3,3003,1166,"rate_state_003.rds"
"rate_state",4,3004,2554,"rate_state_004.rds"
"rate_state",5,3005,1721,"rate_state_005.rds"
"rate_state",6,3006,1871,"rate_state_006.rds"
"rate_state",7,3007,1878,"rate_state_007.rds"
"rate_state",8,3008,4279,"rate_state_008.rds"
