"binning","n_fits","n_converged","n_hit_max","median_iter","max_iter","median_iter_diff","median_runtime","max_runtime","median_runtime_ratio"
"N8",3,3,0,30,34,0,1.06358843247096,2.09776741663615,1
"N10",3,3,0,26,34,0,1.23897491296132,2.17359640200933,1.03614747029238
"N12",3,3,0,34,37,0,1.72050780057907,2.40578380028407,1.14683056911134
"N14",3,3,0,31,40,-3,1.69967853228251,2.66537518501282,1.27057707345214
"N16",3,3,0,31,40,-3,1.91085088650386,2.73399418195089,1.30328756194286
