"kernel","n_total","n_pre_mainshock","n_post_mainshock","max_magnitude","max_generation","rep","seed"
"rate_state",2447,75,2372,7.1,16,39,910117
"ou",2142,124,2018,7.1,8,40,910118
"mse",1288,126,1162,7.1,7,40,910119
"rate_state",2181,155,2026,7.1,12,40,910120
"ou",3383,93,3290,7.1,16,41,910121
"mse",2080,91,1989,7.1,11,41,910122
"rate_state",4794,114,4680,7.1,14,41,910123
"ou",2486,164,2322,7.1,16,42,910124
"mse",1604,304,1300,7.1,8,42,910125
"rate_state",3433,137,3296,7.1,19,42,910126
"ou",2593,154,2439,7.1,15,43,910127
"mse",3285,351,2934,7.1,13,43,910128
"rate_state",2316,71,2245,7.1,13,43,910129
"ou",4645,172,4473,7.1,15,44,910130
"mse",5420,116,5304,7.1,16,44,910131
"rate_state",1761,264,1497,7.1,7,44,910132
"ou",4016,167,3849,7.1,16,45,910133
"mse",5341,93,5248,7.1,17,45,910134
"rate_state",2662,149,2513,7.1,12,45,910135
"ou",1311,226,1085,7.1,8,46,910136
"mse",2534,111,2423,7.1,10,46,910137
"rate_state",1497,136,1361,7.1,12,46,910138
"ou",1470,121,1349,7.1,9,47,910139
"mse",1247,90,1157,7.1,8,47,910140
"rate_state",1482,110,1372,7.1,11,47,910141
"ou",3254,131,3123,7.1,12,48,910142
"mse",1542,90,1452,7.1,9,48,910143
"rate_state",2334,118,2216,7.1,13,48,910144
"ou",2031,106,1925,7.1,11,49,910145
"mse",1905,123,1782,7.1,9,49,910146
"rate_state",1896,144,1752,7.1,14,49,910147
"ou",2058,111,1947,7.1,12,50,910148
"mse",2306,143,2163,7.1,14,50,910149
"rate_state",3539,160,3379,7.1,23,50,910150
"ou",2581,142,2439,7.1,14,51,910151
"mse",6029,93,5936,7.1,14,51,910152
"rate_state",3794,278,3516,7.1,19,51,910153
"ou",2038,92,1946,7.1,8,52,910154
"mse",1442,367,1075,7.1,10,52,910155
"rate_state",6746,377,6369,7.1,18,52,910156
"ou",2875,466,2409,7.1,12,53,910157
"mse",2348,165,2183,7.1,13,53,910158
"rate_state",2746,303,2443,7.1,11,53,910159
"ou",1827,78,1749,7.1,12,54,910160
"mse",1922,97,1825,7.1,9,54,910161
"rate_state",1234,143,1091,7.1,9,54,910162
"ou",2883,95,2788,7.1,14,55,910163
"mse",2056,229,1827,7.1,9,55,910164
"rate_state",2544,498,2046,7.1,8,55,910165
"ou",2613,235,2378,7.1,14,56,910166
"mse",1944,124,1820,7.1,10,56,910167
"rate_state",4036,152,3884,7.1,13,56,910168
"ou",4180,139,4041,7.1,17,57,910169
"mse",2336,95,2241,7.1,12,57,910170
"rate_state",2185,213,1972,7.1,13,57,910171
"ou",3361,796,2565,7.1,16,58,910172
"mse",1230,95,1135,7.1,9,58,910173
"rate_state",1311,72,1239,7.1,8,58,910174
"ou",4364,172,4192,7.1,14,59,910175
"mse",2440,120,2320,7.1,19,59,910176
"rate_state",2334,274,2060,7.1,10,59,910177
"ou",2263,88,2175,7.1,13,60,910178
"mse",2500,166,2334,7.1,13,60,910179
"rate_state",2987,414,2573,7.1,20,60,910180
"ou",2096,99,1997,7.1,13,61,910181
"mse",4982,3088,1894,7.1,23,61,910182
"rate_state",3598,343,3255,7.1,13,61,910183
"ou",1934,82,1852,7.1,13,62,910184
"mse",2820,846,1974,7.1,17,62,910185
"rate_state",1411,258,1153,7.1,9,62,910186
"ou",1790,72,1718,7.1,10,63,910187
"mse",2449,873,1576,7.1,13,63,910188
"rate_state",1547,198,1349,7.1,8,63,910189
"ou",2564,75,2489,7.1,15,64,910190
"mse",2866,335,2531,7.1,12,64,910191
"rate_state",3335,453,2882,7.1,16,64,910192
"ou",2781,254,2527,7.1,13,65,910193
"mse",1687,224,1463,7.1,12,65,910194
"rate_state",2577,101,2476,7.1,16,65,910195
"ou",3268,178,3090,7.1,20,66,910196
"mse",1832,118,1714,7.1,14,66,910197
"rate_state",4341,140,4201,7.1,14,66,910198
"ou",1700,412,1288,7.1,10,67,910199
"mse",1824,141,1683,7.1,12,67,910200
"rate_state",2271,120,2151,7.1,10,67,910201
"ou",2779,104,2675,7.1,14,68,910202
"mse",1379,130,1249,7.1,10,68,910203
"rate_state",1447,99,1348,7.1,10,68,910204
"ou",3983,191,3792,7.1,15,69,910205
"mse",2049,145,1904,7.1,12,69,910206
"rate_state",2789,156,2633,7.1,14,69,910207
"ou",1605,106,1499,7.1,11,70,910208
"mse",2124,125,1999,7.1,10,70,910209
"rate_state",2006,75,1931,7.1,9,70,910210
"ou",2441,150,2291,7.1,12,71,910211
"mse",7238,227,7011,7.1,20,71,910212
"rate_state",9876,925,8951,7.1,18,71,910213
"ou",1628,475,1153,7.1,9,72,910214
"mse",1932,379,1553,7.1,9,72,910215
"rate_state",3204,120,3084,7.1,14,72,910216
"ou",2453,334,2119,7.1,11,73,910217
"mse",1482,175,1307,7.1,9,73,910218
"rate_state",1797,126,1671,7.1,8,73,910219
"ou",2621,92,2529,7.1,16,74,910220
