"kernel","ts","magnitudes","gen"
"ou",18.015726051732,6.69954510540628,0
"ou",24.5398708457389,5.78218772109075,2
"ou",223.95360911011,5.77030211547137,0
"ou",-1045.70067120053,5.720256248988,2
"ou",21.1458100867081,5.64754819560557,4
"ou",197.020142965019,5.49124545427025,1
"ou",130.468319857375,5.46664466223103,2
"ou",19.3769529711706,5.4367046891839,2
"ou",25.1127159128869,5.15230692697957,3
"ou",45.6114077771696,5.12572830940792,4
"mse",14.5022143276723,6.73836760832444,6
"mse",15.6722220751242,6.22582458803017,7
"mse",14.3889483358507,6.13496972720989,5
"mse",1638.98475466526,6.06580930306195,3
"mse",2.26742056233878,5.86785893305013,9
"mse",14.8791294548625,5.86021979750948,9
"mse",0.46844957433051,5.828779708819,2
"mse",1.65869373322697,5.78171652861517,8
"mse",14.8432331817616,5.747209147608,8
"mse",94.0492581918693,5.71686033625876,7
"rate_state",15.8815646727011,6.24669882025565,0
"rate_state",-1030.59179851936,6.22487820220522,3
"rate_state",0.0627996117610342,6.12611751565545,0
"rate_state",0.971510260371879,5.84043134399139,2
"rate_state",-1026.7554466869,5.66070120485904,4
"rate_state",55.6243760028855,5.62389992701575,0
"rate_state",1395.32167350768,5.55652401879015,4
"rate_state",42.5707268588377,5.46468962445864,5
"rate_state",35.3361425993473,5.37894926022156,3
"rate_state",-1028.15989297374,5.36723485354073,6
