"truth_form","rep","tv"
"mse",1,0.0275306257294478
"mse",2,0.00646271294593905
"mse",3,0.0121350606232472
"mse",4,0.0217844093114389
"mse",5,0.00588932706153933
"mse",6,0.0193283923289747
"mse",7,0.0226211000321003
"mse",8,0.018809880984254
"mse",9,0.0151040433247703
"mse",10,0.0144050116703821
"mse",11,0.0170630303942029
"mse",12,0.0321626344021397
"mse",13,0.0180103694244185
"mse",14,0.0251453120657601
"mse",15,0.0147209023851916
"mse",16,0.00852639341693601
"mse",17,0.0123660998307042
"mse",18,0.0100541020853548
"mse",19,0.018452972178596
"mse",20,0.0203885153382299
"mse",21,0.0219501280807762
"mse",22,0.0312338271486277
"mse",23,0.0143514060050818
"mse",24,0.00556922985027669
"mse",25,0.0126114749904697
"mse",26,0.0118532832454615
"mse",27,0.0177385017801867
"mse",28,0.0128329716214853
"mse",29,0.0137329457593763
"mse",30,0.0187134393321056
"mse",31,0.00766423554053988
"mse",32,0.0167390269228553
"mse",33,0.0330389429502199
"mse",34,0.0130708908338508
"mse",35,0.0230598566749696
"mse",36,0.0239638959416771
"mse",37,0.0192465467143787
"mse",38,0.0108791960205078
"mse",39,0.00851744429411596
"mse",40,0.0208388301000608
"mse",41,0.014916954127198
"mse",42,0.0124264162194578
"mse",43,0.0351863357095781
"mse",44,0.0256881882253859
"mse",45,0.0276243085703127
"mse",46,0.016498584753311
"mse",47,0.0229557092778972
"mse",48,0.0091592915420646
"mse",49,0.028353858393701
"mse",50,0.0150372931645559
"mse",51,0.0241108209452726
"mse",52,0.00999837732311605
"mse",53,0.0355369579843718
"mse",54,0.021510690622501
"mse",55,0.017195290958907
"mse",56,0.0382000931060982
"mse",57,0.00989952756114328
"mse",58,0.0128159789469684
"mse",59,0.00713613855539162
"mse",60,0.0103903422728885
"mse",61,0.0109662032558089
"mse",62,0.00846292017807852
"mse",63,0.0165788955177002
"mse",64,0.0183443368130096
"mse",65,0.0243968572679684
"mse",66,0.0153955945023182
"mse",67,0.00844020055180687
"mse",68,0.0175385617940531
"mse",69,0.0161981565484645
"mse",70,0.00286543231475793
"mse",71,0.00722561422298459
"mse",72,0.0249977925238016
"mse",73,0.0100567502314129
"mse",74,0.00859986168281424
"mse",75,0.0227816608366571
"mse",76,0.00872361307849661
"mse",77,0.0226273372779747
"mse",78,0.00593782105714403
"mse",79,0.0234160976412118
"mse",80,0.00967144711732815
"mse",81,0.0149709766273928
"mse",82,0.019690449509993
"mse",83,0.0171468729465119
"mse",84,0.0225387447096358
"mse",85,0.00948155354381648
"mse",86,0.0179809240750666
"mse",87,0.0181186439837124
"mse",88,0.0082307100014471
"mse",89,0.00944062154998587
"mse",90,0.0139454064627817
"mse",91,0.0201582782297955
"mse",92,0.0194183727994086
"mse",93,0.0147553237652953
"mse",94,0.014964734784713
"mse",95,0.0108164174778681
"mse",96,0.00401651375316215
"mse",97,0.0270221128677254
"mse",98,0.0169844599279486
"mse",99,0.0210082227581028
"mse",100,0.0168200789836136
"ou",1,0.00579886978639172
"ou",2,0.0283260543762821
"ou",3,0.0117470360403241
"ou",4,0.00699586498166791
"ou",5,0.0129906658491729
"ou",6,0.00911574712071387
"ou",7,0.00569609834608459
"ou",8,0.0206842293057645
"ou",9,0.0173729693041153
"ou",10,0.0049903124144044
"ou",11,0.0186089870617692
"ou",12,0.0150067816253143
"ou",13,0.0218586385421433
"ou",14,0.0117304442839902
"ou",15,0.00823970590310041
"ou",16,0.013799185554721
"ou",17,0.0295085834975662
"ou",18,0.0141180352252092
"ou",19,0.0103015860187456
"ou",20,0.0168825940051105
"ou",21,0.0122174908293101
"ou",22,0.0223690539871702
"ou",23,0.0123126472707736
"ou",24,0.033778492283629
"ou",25,0.00320673818854657
"ou",26,0.00928205194041598
"ou",27,0.0232689528187109
"ou",28,0.00709991484188186
"ou",29,0.0095225618915864
"ou",30,0.0230948978073676
"ou",31,0.0258342624347729
"ou",32,0.0110478959220602
"ou",33,0.0106986719298063
"ou",34,0.0327289590307838
"ou",35,0.00393868213216334
"ou",36,0.0262560315603882
"ou",37,0.0174883610106792
"ou",38,0.00235008683925041
"ou",39,0.00988775791392862
"ou",40,0.0135566360398512
"ou",41,0.0223415125768934
"ou",42,0.0119253306556444
"ou",43,0.0153442903467201
"ou",44,0.00563668724030567
"ou",45,0.0141372713880489
"ou",46,0.0080759111300326
"ou",47,0.00368819538093942
"ou",48,0.00998397288045068
"ou",49,0.0110436096359958
"ou",50,0.00958971940295003
"ou",51,0.0189142733769048
"ou",52,0.0175290265229114
"ou",53,0.01305843860213
"ou",54,0.00321609042737352
"ou",55,0.0284588415730623
"ou",56,0.00542231209876695
"ou",57,0.0162271461860855
"ou",58,0.0179154882674083
"ou",59,0.0105736759094779
"ou",60,0.00887983157161677
"ou",61,0.0223783090896152
"ou",62,0.0178033544444032
"ou",63,0.0146533338690564
"ou",64,0.0277024937784802
"ou",65,0.00279860841459125
"ou",66,0.00996180372064019
"ou",67,0.0111416528944502
"ou",68,0.00580527799331635
"ou",69,0.0152654856796944
"ou",70,0.0337497350436827
"ou",71,0.0131278146627174
"ou",72,0.00783543658764149
"ou",73,0.00510132673728933
"ou",74,0.0200973032248274
"ou",75,0.00545412724686503
"ou",76,0.021159205637611
"ou",77,0.00274714836426872
"ou",78,0.018609606810607
"ou",79,0.00419936984862159
"ou",80,0.0276445988031685
"ou",81,0.00306138157048842
"ou",82,0.00557663976175388
"ou",83,0.00773948969069261
"ou",84,0.021246847886821
"ou",85,0.0353081240850284
"ou",86,0.010443957873959
"ou",87,0.00261120202032861
"ou",88,0.00231800557208339
"ou",89,0.00431453042834352
"ou",90,0.0071266040912918
"ou",91,0.0137214944921852
"ou",92,0.00550300329560281
"ou",93,0.0126917743958687
"ou",94,0.00433277084386497
"ou",95,0.00478655417437627
"ou",96,0.0142320565684885
"ou",97,0.0240558407693991
"ou",98,0.0183003263957673
"ou",99,0.0199747976387706
"ou",100,0.0146396248869308
"rate_state",1,0.0117649017401377
"rate_state",2,0.00584773997389498
"rate_state",3,0.0245310448140377
"rate_state",4,0.00378735900530476
"rate_state",5,0.0121718203201364
"rate_state",6,0.00600873163233176
"rate_state",7,0.0105132501120583
