"truth_form","n","median_tv","q10_tv","q90_tv"
"mse",100,0.0165387401355056,0.0084192514967709,0.0258215806896198
"ou",100,0.0122650690500418,0.00417330107697577,0.0258764393473345
"rate_state",100,0.0123045355571526,0.00460429722511955,0.0238731276742516
