"truth_kernel","n","median_tv","q10_tv","q90_tv"
"mse",100,0.0177329531858554,0.00923554383660152,0.0260507384829126
"ou",100,0.0161431884606479,0.00709755663693672,0.027420505632472
"rate_state",100,0.011635878644627,0.00420422364890608,0.0265796891060139
