"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","status","error","file"
"ou","ou",63,1063,1000187,3637,3.86941034793854,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,31,0.00600630703652744,FALSE,"fitted",NA,"rep_0063_fit_ou.rds"
"ou","mse",63,1063,1000188,3637,6.59857106606166,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,37,0.00601218985752412,FALSE,"fitted",NA,"rep_0063_fit_mse.rds"
"ou","rate_state",63,1063,1000189,3637,8.47559721867244,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,55,0.00609491438054344,FALSE,"fitted",NA,"rep_0063_fit_rate_state.rds"
"ou","ou",64,1064,1000190,2565,1.97352166573207,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,24,0.00668444808081322,FALSE,"fitted",NA,"rep_0064_fit_ou.rds"
"ou","mse",64,1064,1000191,2565,3.5373636841774,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,34,0.00669626560081547,FALSE,"fitted",NA,"rep_0064_fit_mse.rds"
"ou","rate_state",64,1064,1000192,2565,1.98915011485418,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,22,0.00680492941195441,FALSE,"fitted",NA,"rep_0064_fit_rate_state.rds"
"ou","ou",65,1065,1000193,2411,2.11433789730072,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,24,0.00749343881836182,FALSE,"fitted",NA,"rep_0065_fit_ou.rds"
"ou","mse",65,1065,1000194,2411,4.24445544878642,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,42,0.0075446859419068,FALSE,"fitted",NA,"rep_0065_fit_mse.rds"
"ou","rate_state",65,1065,1000195,2411,1.9459797501564,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,21,0.00762033119468102,FALSE,"fitted",NA,"rep_0065_fit_rate_state.rds"
"ou","ou",66,1066,1000196,2531,1.87396193345388,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,23,0.00740530045884185,FALSE,"fitted",NA,"rep_0066_fit_ou.rds"
"ou","mse",66,1066,1000197,2531,3.63564568360647,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,35,0.00740910333834186,FALSE,"fitted",NA,"rep_0066_fit_mse.rds"
"ou","rate_state",66,1066,1000198,2531,1.8819895029068,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,21,0.00747187782737443,FALSE,"fitted",NA,"rep_0066_fit_rate_state.rds"
"ou","ou",67,1067,1000199,1966,1.36970123052597,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,21,0.00802462142554113,FALSE,"fitted",NA,"rep_0067_fit_ou.rds"
"ou","mse",67,1067,1000200,1966,2.73513028224309,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,38,0.00804164104383844,FALSE,"fitted",NA,"rep_0067_fit_mse.rds"
"ou","rate_state",67,1067,1000201,1966,1.85716018676758,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,30,0.00818453652845996,FALSE,"fitted",NA,"rep_0067_fit_rate_state.rds"
"ou","ou",68,1068,1000202,1990,1.54744971593221,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,25,0.00808508293861363,FALSE,"fitted",NA,"rep_0068_fit_ou.rds"
"ou","mse",68,1068,1000203,1990,3.16987980206807,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,43,0.00810606171348033,FALSE,"fitted",NA,"rep_0068_fit_mse.rds"
"ou","rate_state",68,1068,1000204,1990,1.56719229618708,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,23,0.00823767720994415,FALSE,"fitted",NA,"rep_0068_fit_rate_state.rds"
"ou","ou",69,1069,1000205,2289,1.83532208601634,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,24,0.00768430544265375,FALSE,"fitted",NA,"rep_0069_fit_ou.rds"
"ou","mse",69,1069,1000206,2289,2.93071241378784,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,33,0.00769538690624516,FALSE,"fitted",NA,"rep_0069_fit_mse.rds"
"ou","rate_state",69,1069,1000207,2289,1.77200583219528,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,21,0.00784431589694769,FALSE,"fitted",NA,"rep_0069_fit_rate_state.rds"
"ou","ou",70,1070,1000208,2893,2.64331485033035,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,28,0.00660185069121714,FALSE,"fitted",NA,"rep_0070_fit_ou.rds"
"ou","mse",70,1070,1000209,2893,5.32076233228048,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,45,0.00662199037720345,FALSE,"fitted",NA,"rep_0070_fit_mse.rds"
"ou","rate_state",70,1070,1000210,2893,4.62033363183339,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,42,0.00677811690850587,FALSE,"fitted",NA,"rep_0070_fit_rate_state.rds"
