"truth_kernel","rep","n_fit","converged","hit_max","inla_failure","degenerate","min_sd","B","one_minus_B","ta","tau","fit_result"
"OU truth",1,3498,TRUE,FALSE,FALSE,FALSE,0.00646812993960523,0.999852935381949,0.000147064618050807,94.1593323630802,0.0138495430276509,"Converged"
"OU truth",2,1812,TRUE,FALSE,FALSE,FALSE,0.00856657458548542,0.999879772829106,0.000120227170894105,115.977955305221,0.0139453780657816,"Converged"
"OU truth",3,2900,TRUE,FALSE,FALSE,FALSE,0.00709451227605161,0.999820755286766,0.000179244713233828,65.860548582659,0.0118072715351217,"Converged"
"OU truth",4,6181,TRUE,FALSE,FALSE,FALSE,0.00478180991015103,0.999887498621378,0.000112501378621621,109.452743858557,0.0123149700291128,"Converged"
"OU truth",5,1853,TRUE,FALSE,FALSE,FALSE,0.00828177032402296,0.999921001571073,7.89984289268908e-05,166.099960852303,0.0131226726226705,"Converged"
"OU truth",6,2440,TRUE,FALSE,FALSE,FALSE,0.00757111046746028,0.999877843182669,0.000122156817331076,112.285709290061,0.0137181406430369,"Converged"
"OU truth",7,5368,TRUE,FALSE,FALSE,FALSE,0.00494336553178433,0.99993807238816,6.19276118395407e-05,175.764302859366,0.0108853376256855,"Converged"
"OU truth",8,3258,TRUE,FALSE,FALSE,FALSE,0.00672591941323205,0.999779718245377,0.000220281754623408,55.4280134439862,0.0122124702411041,"Converged"
"OU truth",9,1842,TRUE,FALSE,FALSE,FALSE,0.00837441713801756,0.99989494609044,0.000105053909560282,102.470804112124,0.0107660896075684,"Converged"
"OU truth",10,2004,TRUE,FALSE,FALSE,FALSE,0.00822568107038757,0.999930134893535,6.98651064652278e-05,136.378774605216,0.00952878333685306,"Converged"
"OU truth",11,2290,TRUE,FALSE,FALSE,FALSE,0.00777139786911741,0.999933876180664,6.612381933635e-05,175.866995277096,0.0116297664275036,"Converged"
"OU truth",12,1793,TRUE,FALSE,FALSE,FALSE,0.00863153935235195,0.999883382104735,0.000116617895265181,93.7389577190211,0.0109329149270719,"Converged"
"OU truth",13,5726,TRUE,FALSE,FALSE,FALSE,0.00482877665877354,0.999921874093663,7.81259063371564e-05,135.294718579956,0.0105708483687992,"Converged"
"OU truth",14,6378,TRUE,FALSE,FALSE,FALSE,0.00461259617351968,0.999943909497448,5.60905025519531e-05,189.59004166192,0.0106347972267838,"Converged"
"OU truth",15,2939,TRUE,FALSE,FALSE,FALSE,0.00717910035382526,0.999930753070575,6.92469294247822e-05,133.806965796959,0.00926636318428374,"Converged"
"OU truth",16,2553,TRUE,FALSE,FALSE,FALSE,0.00731386090197743,0.999935994875842,6.40051241580508e-05,208.530724010554,0.0133478892143702,"Converged"
"OU truth",17,1898,TRUE,FALSE,FALSE,FALSE,0.00836600451999876,0.999855935046775,0.000144064953225498,79.6029424804877,0.0114696465591585,"Converged"
"OU truth",18,3254,TRUE,FALSE,FALSE,FALSE,0.00654783651031376,0.999859640298598,0.000140359701402248,80.4955580063007,0.0112999185391638,"Converged"
"OU truth",19,4100,TRUE,FALSE,FALSE,FALSE,0.00599870978703888,0.999916282973268,8.37170267321552e-05,143.554759714813,0.0120189838501654,"Converged"
"OU truth",20,2416,TRUE,FALSE,FALSE,FALSE,0.0077677497590011,0.999908341457734,9.16585422664484e-05,106.09518798888,0.00972542169052059,"Converged"
"OU truth",21,2765,TRUE,FALSE,FALSE,FALSE,0.00742421569321264,0.99989544972538,0.000104550274620308,120.492112963846,0.0125988007080251,"Converged"
"OU truth",22,2322,TRUE,FALSE,FALSE,FALSE,0.00735491530568561,0.99983752432217,0.000162475677829566,89.4834584470702,0.0145412481648736,"Converged"
"OU truth",23,1866,TRUE,FALSE,FALSE,FALSE,0.00842582044177601,0.999897081665568,0.000102918334432101,118.478944702971,0.012194910734004,"Converged"
"OU truth",24,2554,TRUE,FALSE,FALSE,FALSE,0.00740642189096107,0.999800148625678,0.000199851374322213,58.215867195421,0.0116368467061713,"Converged"
"OU truth",25,2939,TRUE,FALSE,FALSE,FALSE,0.00642177288699733,0.999966031446517,3.39685534826994e-05,331.722062289349,0.0112685013889592,"Converged"
"OU truth",26,2372,TRUE,FALSE,FALSE,FALSE,0.00767280581643442,0.999910744630913,8.92553690865494e-05,126.793459278356,0.0113180071985599,"Converged"
"OU truth",27,2029,TRUE,FALSE,FALSE,FALSE,0.0082771057073198,0.999895795316713,0.000104204683286535,109.15596113785,0.0113757477654,"Converged"
"OU truth",28,1836,TRUE,FALSE,FALSE,FALSE,0.00866600815191289,0.999874345504171,0.000125654495829353,92.8188822286515,0.0116645755562458,"Converged"
"OU truth",29,2213,TRUE,FALSE,FALSE,FALSE,0.00771269085583956,0.999875712921933,0.000124287078067109,84.3215455341746,0.0104813812127903,"Converged"
"OU truth",30,3920,TRUE,FALSE,FALSE,FALSE,0.00603976240196486,0.999805152808196,0.000194847191804293,67.6766165100545,0.0131891685502544,"Converged"
"OU truth",31,3024,TRUE,FALSE,FALSE,FALSE,0.00659360460410159,0.999854602715882,0.000145397284118443,91.9478248221775,0.0133709081034674,"Converged"
"OU truth",32,3472,TRUE,FALSE,FALSE,FALSE,0.00588130061033198,0.999883803922707,0.000116196077293185,106.409220207914,0.0123657708300494,"Converged"
"OU truth",33,6966,TRUE,FALSE,FALSE,FALSE,0.00442880312394795,0.999935710379257,6.42896207426746e-05,179.863729653667,0.0115641144173273,"Converged"
"OU truth",34,2708,TRUE,FALSE,FALSE,FALSE,0.00740980882342457,0.999867204232365,0.000132795767635363,79.4086736827734,0.0105465363139957,"Converged"
"OU truth",35,3627,TRUE,FALSE,FALSE,FALSE,0.00611377999368715,0.999909843259967,9.01567400328762e-05,125.224097477574,0.0112908143451509,"Converged"
"OU truth",36,1841,TRUE,FALSE,FALSE,FALSE,0.00825449114653772,0.999809992323381,0.000190007676619253,64.0287683176423,0.012168269569457,"Converged"
"OU truth",37,2267,TRUE,FALSE,FALSE,FALSE,0.00820614934044362,0.999826631488189,0.000173368511811378,74.2067406489147,0.0128673429847795,"Converged"
"OU truth",38,4903,TRUE,FALSE,FALSE,FALSE,0.00518958387020034,0.999882629690686,0.00011737030931358,105.743264265169,0.012412576502574,"Converged"
"OU truth",39,1583,TRUE,FALSE,FALSE,FALSE,0.00904259984000868,0.999879898391177,0.000120101608823364,96.5289538076487,0.0115946751894789,"Converged"
"OU truth",40,2010,TRUE,FALSE,FALSE,FALSE,0.00842715225830086,0.999877772614294,0.000122227385706331,93.440574533503,0.0114223932733959,"Converged"
"OU truth",41,5385,TRUE,FALSE,FALSE,FALSE,0.00475522116709083,0.999939969921508,6.00300784915353e-05,184.783504891523,0.0110932342303007,"Converged"
"OU truth",42,2242,TRUE,FALSE,FALSE,FALSE,0.00786154182937031,0.999894355251006,0.000105644748993772,114.667389000682,0.0121152874452493,"Converged"
"OU truth",43,2103,TRUE,FALSE,FALSE,FALSE,0.00823189205481768,0.999893050742042,0.000106949257957956,98.470726289915,0.0105324975500848,"Converged"
"OU truth",44,3384,TRUE,FALSE,FALSE,FALSE,0.00643510774835007,0.99984219957752,0.000157800422479482,69.5351434947884,0.0109744067866764,"Converged"
"OU truth",45,4320,TRUE,FALSE,FALSE,FALSE,0.00560184726939392,0.9999038531238,9.61468762001871e-05,131.551994208526,0.012649529513803,"Converged"
"OU truth",46,2603,TRUE,FALSE,FALSE,FALSE,0.00710995082389124,0.999917585225654,8.24147743456738e-05,144.046153240728,0.0118725096849036,"Converged"
"OU truth",47,2622,TRUE,FALSE,FALSE,FALSE,0.00747370311674602,0.999897613675076,0.000102386324923653,115.839581041621,0.0118616034495322,"Converged"
"OU truth",48,1619,TRUE,FALSE,FALSE,FALSE,0.00893048806000303,0.99988790466422,0.000112095335779827,93.4634807358812,0.0104779947905844,"Converged"
"OU truth",49,3686,TRUE,FALSE,FALSE,FALSE,0.00571489529572572,0.999951671843272,4.83281567278393e-05,257.099085202639,0.0124257253966617,"Converged"
"OU truth",50,2539,TRUE,FALSE,FALSE,FALSE,0.00728445894861713,0.999893609361316,0.00010639063868445,105.801409465821,0.0112574772169748,"Converged"
"OU truth",51,2213,TRUE,FALSE,FALSE,FALSE,0.00768684915224466,0.999889733326217,0.000110266673783221,99.6331051665709,0.0109874226519609,"Converged"
"OU truth",52,2008,TRUE,FALSE,FALSE,FALSE,0.00849979896326101,0.99971044479858,0.000289555201419711,47.7738449575894,0.0138371719243925,"Converged"
"OU truth",53,1612,TRUE,FALSE,FALSE,FALSE,0.00890468289624612,0.999842546935755,0.000157453064245416,89.2627582288958,0.014056908109393,"Converged"
"OU truth",54,3225,TRUE,FALSE,FALSE,FALSE,0.00652600310234375,0.999921478122144,7.85218778557306e-05,165.992443135947,0.0130350618824321,"Converged"
"OU truth",55,1733,TRUE,FALSE,FALSE,FALSE,0.00881601218647,0.99981648677133,0.000183513228669607,64.510714821964,0.0118407424936478,"Converged"
"OU truth",56,4483,TRUE,FALSE,FALSE,FALSE,0.00559360990767448,0.999922862344114,7.71376558862391e-05,136.029352607292,0.0104937948585859,"Converged"
