"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","status","error","file"
"mse","rate_state",28,2028,1000384,1598,4.44669516881307,"inla_failure",FALSE,FALSE,TRUE,FALSE,FALSE,61,0.0091188332796841,FALSE,"existing",NA,"rep_0028_fit_rate_state.rds"
"mse","rate_state",29,2029,1000387,4845,24.9213554183642,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00706667583899497,FALSE,"existing",NA,"rep_0029_fit_rate_state.rds"
"mse","rate_state",30,2030,1000390,3848,15.8052225828171,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.010872880171119,FALSE,"fitted",NA,"rep_0030_fit_rate_state.rds"
"mse","rate_state",31,2031,1000393,1655,6.93509236574173,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,3.80451715660719e-53,TRUE,"existing",NA,"rep_0031_fit_rate_state.rds"
"mse","rate_state",32,2032,1000396,3687,17.7772447307905,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00890709850776684,FALSE,"existing",NA,"rep_0032_fit_rate_state.rds"
"mse","rate_state",33,2033,1000399,3295,14.1386020978292,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00765232412735371,FALSE,"existing",NA,"rep_0033_fit_rate_state.rds"
"mse","rate_state",34,2034,1000402,1981,8.3676641980807,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,6.05297684965423e-114,TRUE,"existing",NA,"rep_0034_fit_rate_state.rds"
"mse","rate_state",35,2035,1000405,2650,11.8616501847903,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00763570070762594,FALSE,"existing",NA,"rep_0035_fit_rate_state.rds"
"mse","rate_state",36,2036,1000408,2373,10.2404850840569,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00824175799389325,FALSE,"existing",NA,"rep_0036_fit_rate_state.rds"
"mse","rate_state",37,2037,1000411,1992,8.230246814092,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,1.44716131899453e-06,FALSE,"existing",NA,"rep_0037_fit_rate_state.rds"
