"quantity","q05","median","q95"
"ou_c",0.0482774525348339,0.497882226501026,0.952119308290121
"ou_p",1.0494440386912,1.50254661695756,1.9476695892768
"ou_G_0_T",0.0963844638827722,0.956318519819551,4.16624680765362
"mse_d",0.0529431663412125,0.493268406576896,0.949445271138364
"mse_rho",0.281496842273429,1.5002131948237,7.71609883052514
"mse_gamma",0.0470982424109837,0.492871836347175,0.952552376803222
"mse_G_0_T",0.141094089779476,1.00678214465722,6.20628056845772
"rs_B",0.997206732295982,0.999443903957708,0.999889917350962
"rs_ta",89.4889694818674,199.316185177431,457.52383957414
"rs_G_0_T",0.158618181106061,0.843752554274136,4.2980125850337
