"truth_form","fitted_form","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","usable","status","error","file"
"mse","rate_state",26,2026,1000378,1941,6.33236281871796,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0119176484506634,FALSE,FALSE,"fitted",NA,"rep_0026_fit_rate_state.rds"
"mse","rate_state",27,2027,1000381,2924,10.4849285999934,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00927075673735383,FALSE,FALSE,"fitted",NA,"rep_0027_fit_rate_state.rds"
"mse","rate_state",28,2028,1000384,4966,21.4701885660489,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00702278458045188,FALSE,FALSE,"fitted",NA,"rep_0028_fit_rate_state.rds"
"mse","rate_state",29,2029,1000387,2170,7.49629716873169,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00868663580718076,FALSE,FALSE,"fitted",NA,"rep_0029_fit_rate_state.rds"
"mse","rate_state",30,2030,1000390,2244,8.46910605033239,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00822545984746385,FALSE,FALSE,"fitted",NA,"rep_0030_fit_rate_state.rds"
"mse","rate_state",31,2031,1000393,2138,7.05275954802831,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00882783542408264,FALSE,FALSE,"fitted",NA,"rep_0031_fit_rate_state.rds"
"mse","rate_state",32,2032,1000396,5416,24.2794169982274,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00591154264287428,FALSE,FALSE,"fitted",NA,"rep_0032_fit_rate_state.rds"
"mse","rate_state",33,2033,1000399,5324,25.4045933802923,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0088927850940459,FALSE,FALSE,"fitted",NA,"rep_0033_fit_rate_state.rds"
"mse","rate_state",34,2034,1000402,5001,21.3349142471949,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00590403501039268,FALSE,FALSE,"fitted",NA,"rep_0034_fit_rate_state.rds"
"mse","rate_state",35,2035,1000405,2426,8.53112608194351,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0116547866076576,FALSE,FALSE,"fitted",NA,"rep_0035_fit_rate_state.rds"
"mse","rate_state",36,2036,1000408,2306,7.7625413497289,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00781546658685106,FALSE,FALSE,"fitted",NA,"rep_0036_fit_rate_state.rds"
"mse","rate_state",37,2037,1000411,4221,17.0699907183647,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00758474467967949,FALSE,FALSE,"fitted",NA,"rep_0037_fit_rate_state.rds"
"mse","rate_state",38,2038,1000414,3508,12.884743698438,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,3.02468916736675e-40,TRUE,FALSE,"fitted",NA,"rep_0038_fit_rate_state.rds"
"mse","rate_state",39,2039,1000417,3245,11.8818581342697,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0113369512381564,FALSE,FALSE,"fitted",NA,"rep_0039_fit_rate_state.rds"
"mse","rate_state",40,2040,1000420,6945,34.7805662671725,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,6.93347216955895e-40,TRUE,FALSE,"fitted",NA,"rep_0040_fit_rate_state.rds"
"mse","rate_state",41,2041,1000423,5230,22.4348806977272,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00950037323541087,FALSE,FALSE,"fitted",NA,"rep_0041_fit_rate_state.rds"
"mse","rate_state",42,2042,1000426,6755,32.8705943981806,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00502054291010575,FALSE,FALSE,"fitted",NA,"rep_0042_fit_rate_state.rds"
