"truth_form","fitted_form","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","usable","status","error","file"
"ou","rate_state",10,1010,1000030,2175,1.66853071451187,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,18,0.00748185601650557,FALSE,TRUE,"fitted",NA,"rep_0010_fit_rate_state.rds"
"ou","ou",11,1011,1000031,2283,1.92452574968338,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,21,0.00724455665273369,FALSE,TRUE,"fitted",NA,"rep_0011_fit_ou.rds"
"ou","mse",11,1011,1000032,2283,3.92378434737523,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,41,0.00725667233579746,FALSE,TRUE,"fitted",NA,"rep_0011_fit_mse.rds"
"ou","rate_state",11,1011,1000033,2283,2.12767649888992,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,26,0.00735827290215017,FALSE,TRUE,"fitted",NA,"rep_0011_fit_rate_state.rds"
"ou","ou",12,1012,1000034,6275,12.2056739846865,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,37,0.00450756367755988,FALSE,TRUE,"fitted",NA,"rep_0012_fit_ou.rds"
"ou","mse",12,1012,1000035,6275,19.0023454507192,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,45,0.00450847744250494,FALSE,TRUE,"fitted",NA,"rep_0012_fit_mse.rds"
"ou","rate_state",12,1012,1000036,6275,13.1655109961828,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,36,0.0045397037526086,FALSE,TRUE,"fitted",NA,"rep_0012_fit_rate_state.rds"
"ou","ou",13,1013,1000037,2248,2.1888387521108,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,27,0.0067666467573155,FALSE,TRUE,"fitted",NA,"rep_0013_fit_ou.rds"
"ou","mse",13,1013,1000038,2248,3.27281883557638,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,33,0.006771428697428,FALSE,TRUE,"fitted",NA,"rep_0013_fit_mse.rds"
"ou","rate_state",13,1013,1000039,2248,2.79935369888941,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,32,0.00679189556164622,FALSE,TRUE,"fitted",NA,"rep_0013_fit_rate_state.rds"
"ou","ou",14,1014,1000040,2945,3.04382208585739,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,28,0.00634653647257723,FALSE,TRUE,"fitted",NA,"rep_0014_fit_ou.rds"
"ou","mse",14,1014,1000041,2945,5.81179666916529,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,41,0.00635023175856647,FALSE,TRUE,"fitted",NA,"rep_0014_fit_mse.rds"
"ou","rate_state",14,1014,1000042,2945,6.43249858220418,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,52,0.0064576538255763,FALSE,TRUE,"fitted",NA,"rep_0014_fit_rate_state.rds"
"ou","ou",15,1015,1000043,4153,5.21361800034841,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,30,0.00552260497843723,FALSE,TRUE,"fitted",NA,"rep_0015_fit_ou.rds"
"ou","mse",15,1015,1000044,4153,9.37000674804052,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,42,0.00552388895115046,FALSE,TRUE,"fitted",NA,"rep_0015_fit_mse.rds"
"ou","rate_state",15,1015,1000045,4153,9.70431512991587,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,49,0.00558470181714488,FALSE,TRUE,"fitted",NA,"rep_0015_fit_rate_state.rds"
"ou","ou",16,1016,1000046,6330,11.6979853669802,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,45,0.0044332030338482,FALSE,TRUE,"fitted",NA,"rep_0016_fit_ou.rds"
"ou","mse",16,1016,1000047,6330,21.1805392662684,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,49,0.00443230137208047,FALSE,TRUE,"fitted",NA,"rep_0016_fit_mse.rds"
"ou","rate_state",16,1016,1000048,6330,23.1002816677093,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,68,0.0044526586116803,FALSE,TRUE,"fitted",NA,"rep_0016_fit_rate_state.rds"
"ou","ou",17,1017,1000049,3077,3.31077496608098,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,27,0.00623209158342702,FALSE,TRUE,"fitted",NA,"rep_0017_fit_ou.rds"
"ou","mse",17,1017,1000050,3077,8.07033148209254,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,57,0.0062454222399506,FALSE,TRUE,"fitted",NA,"rep_0017_fit_mse.rds"
"ou","rate_state",17,1017,1000051,3077,4.56965980132421,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,37,0.0064009296503541,FALSE,TRUE,"fitted",NA,"rep_0017_fit_rate_state.rds"
"ou","ou",18,1018,1000052,6894,11.047217019399,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,39,0.00411158949054414,FALSE,TRUE,"fitted",NA,"rep_0018_fit_ou.rds"
