"truth_form","fitted_form","n","median_delta_tv","q10_delta_tv","q90_delta_tv","prop_wrong_better"
"mse","ou",100,0.0544264961920097,0.044453701663582,0.0644059123464223,0
"ou","mse",97,0.0100508516335701,0.00290583644035059,0.0179433447785726,0.0515463917525773
"ou","rate_state",100,0.114308953377238,0.102724892385801,0.122289088129958,0
"rate_state","mse",84,0.0379124313607464,0.0303378151033777,0.0438060649276061,0
"rate_state","ou",100,0.0995581588985621,0.0860320231951567,0.115827263892694,0
