"kernel","parameter","comparison","overlap","TV"
"ou","K","N8 -> N10",0.996897786747914,0.00310221325208649
"ou","K","N10 -> N12",0.999011629296732,0.000988370703267614
"ou","K","N12 -> N14",0.999554177481194,0.0004458225188061
"ou","K","N14 -> N16",0.999981666862817,1.83331371832239e-05
"ou","c","N8 -> N10",0.991040992429095,0.00895900757090462
"ou","c","N10 -> N12",0.997083085058165,0.00291691494183484
"ou","c","N12 -> N14",0.99956809967937,0.000431900320629918
"ou","c","N14 -> N16",0.999992324454947,7.67554505299584e-06
"ou","p","N8 -> N10",0.984047274961092,0.015952725038908
"ou","p","N10 -> N12",0.994795036448669,0.00520496355133112
"ou","p","N12 -> N14",0.999238394157153,0.00076160584284721
"ou","p","N14 -> N16",0.999980139988093,1.98600119069643e-05
"mse","K","N8 -> N10",0.986183038779476,0.0138169612205241
"mse","K","N10 -> N12",0.993983917423577,0.00601608257642299
"mse","K","N12 -> N14",0.997669838163149,0.00233016183685108
"mse","K","N14 -> N16",0.999984750120717,1.52498792831341e-05
"mse","d","N8 -> N10",0.956864248067331,0.0431357519326691
"mse","d","N10 -> N12",0.984767291615499,0.0152327083845009
"mse","d","N12 -> N14",0.99748692323672,0.00251307676328032
"mse","d","N14 -> N16",0.999994537819594,5.46218040628844e-06
"mse","rho","N8 -> N10",0.930631756558675,0.0693682434413251
"mse","rho","N10 -> N12",0.974909293448115,0.0250907065518855
"mse","rho","N12 -> N14",0.995480294095128,0.00451970590487191
"mse","rho","N14 -> N16",0.99999048918787,9.5108121304953e-06
"mse","gamma","N8 -> N10",0.913005544489302,0.0869944555106984
"mse","gamma","N10 -> N12",0.969295291946339,0.0307047080536609
"mse","gamma","N12 -> N14",0.994862808408039,0.00513719159196092
"mse","gamma","N14 -> N16",0.99999015888469,9.84111530969302e-06
"rate_state","K","N8 -> N10",0.99519253748877,0.0048074625112302
"rate_state","K","N10 -> N12",0.991821579389725,0.00817842061027449
"rate_state","K","N12 -> N14",0.99963463823064,0.000365361769360431
"rate_state","K","N14 -> N16",0.999986993755091,1.30062449092022e-05
"rate_state","B","N8 -> N10",0.913593298408705,0.0864067015912954
"rate_state","B","N10 -> N12",0.945251334140257,0.0547486658597431
"rate_state","B","N12 -> N14",0.990468231186061,0.00953176881393875
"rate_state","B","N14 -> N16",0.999992139373353,7.86062664670408e-06
"rate_state","ta","N8 -> N10",0.850248641987354,0.149751358012646
"rate_state","ta","N10 -> N12",0.880782877061445,0.119217122938555
"rate_state","ta","N12 -> N14",0.978870639893793,0.0211293601062066
"rate_state","ta","N14 -> N16",0.999984083387032,1.59166129677443e-05
