"binning","n_fits","n_converged","n_hit_max","median_iter","max_iter","median_iter_diff","median_runtime","max_runtime","median_runtime_ratio"
"N8",3,3,0,22,31,0,0.763090165456136,1.52714833418528,1
"N10",3,3,0,22,31,0,0.738608499368032,1.67735413312912,1.04484518611182
"N12",3,3,0,23,31,0,0.831788067022959,1.7513553182284,1.09002592966948
"N14",3,3,0,23,31,0,0.874722631772359,1.70541381835938,1.11673095545706
"N16",3,3,0,23,31,0,0.85975938240687,1.73550731738408,1.12668125121617
