"form","rep","seed","n_events","file"
"mse",27,2027,2924,"mse_027.rds"
"mse",28,2028,4966,"mse_028.rds"
"mse",29,2029,2170,"mse_029.rds"
"mse",30,2030,2244,"mse_030.rds"
"mse",31,2031,2138,"mse_031.rds"
"mse",32,2032,5416,"mse_032.rds"
"mse",33,2033,5324,"mse_033.rds"
"mse",34,2034,5001,"mse_034.rds"
"mse",35,2035,2426,"mse_035.rds"
"mse",36,2036,2306,"mse_036.rds"
"mse",37,2037,4221,"mse_037.rds"
"mse",38,2038,3508,"mse_038.rds"
"mse",39,2039,3245,"mse_039.rds"
"mse",40,2040,6945,"mse_040.rds"
"mse",41,2041,5230,"mse_041.rds"
"mse",42,2042,6755,"mse_042.rds"
"mse",43,2043,2470,"mse_043.rds"
"mse",44,2044,2931,"mse_044.rds"
"mse",45,2045,4450,"mse_045.rds"
"mse",46,2046,2715,"mse_046.rds"
"mse",47,2047,3261,"mse_047.rds"
"mse",48,2048,1817,"mse_048.rds"
"mse",49,2049,2120,"mse_049.rds"
"mse",50,2050,4719,"mse_050.rds"
"mse",51,2051,3917,"mse_051.rds"
"mse",52,2052,4463,"mse_052.rds"
"mse",53,2053,2018,"mse_053.rds"
"mse",54,2054,3341,"mse_054.rds"
"mse",55,2055,2417,"mse_055.rds"
"mse",56,2056,4005,"mse_056.rds"
"mse",57,2057,3374,"mse_057.rds"
"mse",58,2058,3844,"mse_058.rds"
"mse",59,2059,5450,"mse_059.rds"
"mse",60,2060,2590,"mse_060.rds"
"mse",61,2061,4478,"mse_061.rds"
"mse",62,2062,5537,"mse_062.rds"
"mse",63,2063,3419,"mse_063.rds"
"mse",64,2064,6763,"mse_064.rds"
"mse",65,2065,3114,"mse_065.rds"
"mse",66,2066,3036,"mse_066.rds"
"mse",67,2067,2401,"mse_067.rds"
"mse",68,2068,2593,"mse_068.rds"
"mse",69,2069,3231,"mse_069.rds"
"mse",70,2070,10156,"mse_070.rds"
"mse",71,2071,3471,"mse_071.rds"
"mse",72,2072,3260,"mse_072.rds"
"mse",73,2073,4942,"mse_073.rds"
"mse",74,2074,2483,"mse_074.rds"
"mse",75,2075,2675,"mse_075.rds"
"mse",76,2076,3191,"mse_076.rds"
"mse",77,2077,2829,"mse_077.rds"
"mse",78,2078,4138,"mse_078.rds"
"mse",79,2079,3945,"mse_079.rds"
"mse",80,2080,3392,"mse_080.rds"
"mse",81,2081,4047,"mse_081.rds"
"mse",82,2082,6724,"mse_082.rds"
"mse",83,2083,7421,"mse_083.rds"
"mse",84,2084,2590,"mse_084.rds"
"mse",85,2085,6850,"mse_085.rds"
"mse",86,2086,1847,"mse_086.rds"
"mse",87,2087,4018,"mse_087.rds"
"mse",88,2088,1994,"mse_088.rds"
"mse",89,2089,6886,"mse_089.rds"
"mse",90,2090,3216,"mse_090.rds"
"mse",91,2091,3816,"mse_091.rds"
"mse",92,2092,9058,"mse_092.rds"
"mse",93,2093,6264,"mse_093.rds"
"mse",94,2094,4680,"mse_094.rds"
"mse",95,2095,2109,"mse_095.rds"
"mse",96,2096,9984,"mse_096.rds"
"mse",97,2097,2192,"mse_097.rds"
"mse",98,2098,3661,"mse_098.rds"
"mse",99,2099,6664,"mse_099.rds"
"mse",100,2100,3200,"mse_100.rds"
"rate_state",1,3001,3263,"rate_state_001.rds"
"rate_state",2,3002,2355,"rate_state_002.rds"
"rate_state",3,3003,1841,"rate_state_003.rds"
"rate_state",4,3004,2299,"rate_state_004.rds"
"rate_state",5,3005,2061,"rate_state_005.rds"
"rate_state",6,3006,5129,"rate_state_006.rds"
"rate_state",7,3007,2046,"rate_state_007.rds"
"rate_state",8,3008,3637,"rate_state_008.rds"
"rate_state",9,3009,2869,"rate_state_009.rds"
"rate_state",10,3010,2375,"rate_state_010.rds"
"rate_state",11,3011,1827,"rate_state_011.rds"
"rate_state",12,3012,3641,"rate_state_012.rds"
"rate_state",13,3013,2111,"rate_state_013.rds"
"rate_state",14,3014,5524,"rate_state_014.rds"
"rate_state",15,3015,3583,"rate_state_015.rds"
"rate_state",16,3016,2823,"rate_state_016.rds"
"rate_state",17,3017,3826,"rate_state_017.rds"
"rate_state",18,3018,2006,"rate_state_018.rds"
"rate_state",19,3019,2126,"rate_state_019.rds"
"rate_state",20,3020,3730,"rate_state_020.rds"
"rate_state",21,3021,2408,"rate_state_021.rds"
"rate_state",22,3022,2233,"rate_state_022.rds"
"rate_state",23,3023,5729,"rate_state_023.rds"
"rate_state",24,3024,5137,"rate_state_024.rds"
"rate_state",25,3025,2575,"rate_state_025.rds"
"rate_state",26,3026,5856,"rate_state_026.rds"
"rate_state",27,3027,3658,"rate_state_027.rds"
"rate_state",28,3028,2005,"rate_state_028.rds"
"rate_state",29,3029,2058,"rate_state_029.rds"
"rate_state",30,3030,2571,"rate_state_030.rds"
"rate_state",31,3031,4263,"rate_state_031.rds"
"rate_state",32,3032,3294,"rate_state_032.rds"
"rate_state",33,3033,2965,"rate_state_033.rds"
"rate_state",34,3034,2499,"rate_state_034.rds"
"rate_state",35,3035,2307,"rate_state_035.rds"
"rate_state",36,3036,5691,"rate_state_036.rds"
"rate_state",37,3037,4376,"rate_state_037.rds"
"rate_state",38,3038,2809,"rate_state_038.rds"
"rate_state",39,3039,7349,"rate_state_039.rds"
"rate_state",40,3040,2823,"rate_state_040.rds"
"rate_state",41,3041,3292,"rate_state_041.rds"
"rate_state",42,3042,3449,"rate_state_042.rds"
"rate_state",43,3043,3079,"rate_state_043.rds"
"rate_state",44,3044,2575,"rate_state_044.rds"
"rate_state",45,3045,1889,"rate_state_045.rds"
"rate_state",46,3046,4149,"rate_state_046.rds"
"rate_state",47,3047,4107,"rate_state_047.rds"
"rate_state",48,3048,2130,"rate_state_048.rds"
"rate_state",49,3049,1881,"rate_state_049.rds"
"rate_state",50,3050,2757,"rate_state_050.rds"
"rate_state",51,3051,4178,"rate_state_051.rds"
"rate_state",52,3052,2657,"rate_state_052.rds"
"rate_state",53,3053,4661,"rate_state_053.rds"
"rate_state",54,3054,3273,"rate_state_054.rds"
"rate_state",55,3055,3122,"rate_state_055.rds"
"rate_state",56,3056,6893,"rate_state_056.rds"
"rate_state",57,3057,2333,"rate_state_057.rds"
"rate_state",58,3058,4858,"rate_state_058.rds"
"rate_state",59,3059,3522,"rate_state_059.rds"
"rate_state",60,3060,3964,"rate_state_060.rds"
"rate_state",61,3061,3452,"rate_state_061.rds"
"rate_state",62,3062,5547,"rate_state_062.rds"
"rate_state",63,3063,3833,"rate_state_063.rds"
"rate_state",64,3064,3701,"rate_state_064.rds"
"rate_state",65,3065,3226,"rate_state_065.rds"
"rate_state",66,3066,5360,"rate_state_066.rds"
"rate_state",67,3067,5206,"rate_state_067.rds"
"rate_state",68,3068,3488,"rate_state_068.rds"
"rate_state",69,3069,2715,"rate_state_069.rds"
"rate_state",70,3070,2891,"rate_state_070.rds"
"rate_state",71,3071,1931,"rate_state_071.rds"
"rate_state",72,3072,2373,"rate_state_072.rds"
"rate_state",73,3073,2315,"rate_state_073.rds"
"rate_state",74,3074,2407,"rate_state_074.rds"
"rate_state",75,3075,6299,"rate_state_075.rds"
"rate_state",76,3076,2966,"rate_state_076.rds"
"rate_state",77,3077,3503,"rate_state_077.rds"
"rate_state",78,3078,4183,"rate_state_078.rds"
"rate_state",79,3079,3269,"rate_state_079.rds"
"rate_state",80,3080,5091,"rate_state_080.rds"
"rate_state",81,3081,3311,"rate_state_081.rds"
"rate_state",82,3082,1839,"rate_state_082.rds"
"rate_state",83,3083,4349,"rate_state_083.rds"
"rate_state",84,3084,4322,"rate_state_084.rds"
"rate_state",85,3085,4113,"rate_state_085.rds"
"rate_state",86,3086,2957,"rate_state_086.rds"
"rate_state",87,3087,2483,"rate_state_087.rds"
"rate_state",88,3088,2385,"rate_state_088.rds"
"rate_state",89,3089,2082,"rate_state_089.rds"
"rate_state",90,3090,1862,"rate_state_090.rds"
"rate_state",91,3091,2287,"rate_state_091.rds"
"rate_state",92,3092,3013,"rate_state_092.rds"
"rate_state",93,3093,4388,"rate_state_093.rds"
"rate_state",94,3094,4355,"rate_state_094.rds"
"rate_state",95,3095,4005,"rate_state_095.rds"
"rate_state",96,3096,3192,"rate_state_096.rds"
"rate_state",97,3097,4704,"rate_state_097.rds"
"rate_state",98,3098,2970,"rate_state_098.rds"
"rate_state",99,3099,2208,"rate_state_099.rds"
"rate_state",100,3100,3470,"rate_state_100.rds"
