"truth_kernel","fitted_kernel","n_fits","median_runtime","q25_runtime","q75_runtime","p90_runtime"
"ou","ou",100,2.13769361575445,1.54730161130428,3.34317962129911,4.88869269609452
"ou","mse",100,4.01998142401377,2.93093705177307,6.37027922471364,12.0292330153783
"ou","rate_state",100,2.61389473478,1.6776114910841,6.08230616052945,10.4302390150229
"mse","ou",100,1.97886562546094,1.50409629046917,3.64443441331386,7.14048301259677
"mse","mse",100,2.8253226518631,2.06946295499802,4.42761287291845,10.1807768833637
"mse","rate_state",100,9.13971414963405,7.03076620399952,12.2139446248611,20.5415461083253
"rate_state","ou",100,2.42329704165459,1.7152456154426,3.92334967454275,6.88440741658212
"rate_state","mse",100,4.9760528922081,3.39331510762374,9.37934379478296,16.07835217913
"rate_state","rate_state",100,2.43326767484347,1.67630208631357,4.5828317185243,9.01785992423694
