"M0","n_fit","b_hat","beta","delta_ou_mse","delta_ou_rs","delta_mse_rs"
2.5,3339,0.793967003616361,1.82817658685618,3.51315535016147,96.6114450020577,93.0982896518963
3,1325,0.859173716737054,1.97832059245103,5.50071131806726,84.4283593914497,78.9276480733824
3.3,775,1.0070257711008,2.31876252879754,6.09580993917257,22.3261976123256,16.230387673153
