"M0","n_fit","b_hat","beta","model_a","model_b","lml_a","lml_b","delta_lml","preferred_model"
2.5,3339,0.793967003616361,1.82817658685618,"ou","mse",-12576.6619649713,-12580.1751203215,3.51315535016147,"ou"
2.5,3339,0.793967003616361,1.82817658685618,"ou","rate_state",-12576.6619649713,-12673.2734099734,96.6114450020577,"ou"
2.5,3339,0.793967003616361,1.82817658685618,"mse","rate_state",-12580.1751203215,-12673.2734099734,93.0982896518963,"mse"
3,1325,0.859173716737054,1.97832059245103,"ou","mse",-3752.68388574559,-3758.18459706365,5.50071131806726,"ou"
3,1325,0.859173716737054,1.97832059245103,"ou","rate_state",-3752.68388574559,-3837.11224513704,84.4283593914497,"ou"
3,1325,0.859173716737054,1.97832059245103,"mse","rate_state",-3758.18459706365,-3837.11224513704,78.9276480733824,"mse"
3.3,775,1.0070257711008,2.31876252879754,"ou","mse",-1871.73508417331,-1877.83089411249,6.09580993917257,"ou"
3.3,775,1.0070257711008,2.31876252879754,"ou","rate_state",-1871.73508417331,-1894.06128178564,22.3261976123256,"ou"
3.3,775,1.0070257711008,2.31876252879754,"mse","rate_state",-1877.83089411249,-1894.06128178564,16.230387673153,"mse"
