"M0","n_fit","b_hat","b_err","beta"
2.5,3339,0.793967003616361,0.0116481229439033,1.82817658685618
3,1325,0.859173716737054,0.0189233516409838,1.97832059245103
3.3,775,1.0070257711008,0.0328093418289412,2.31876252879754
