"M0","b_hat","beta","fitted_kernel","n_fit","lml"
2.5,0.793967003616361,1.82817658685618,"mse",3339,-12580.1751203215
2.5,0.793967003616361,1.82817658685618,"ou",3339,-12576.6619649713
2.5,0.793967003616361,1.82817658685618,"rate_state",3339,-12673.2734099734
3,0.859173716737054,1.97832059245103,"mse",1325,-3758.18459706365
3,0.859173716737054,1.97832059245103,"ou",1325,-3752.68388574559
3,0.859173716737054,1.97832059245103,"rate_state",1325,-3837.11224513704
3.3,1.0070257711008,2.31876252879754,"mse",775,-1877.83089411249
3.3,1.0070257711008,2.31876252879754,"ou",775,-1871.73508417331
3.3,1.0070257711008,2.31876252879754,"rate_state",775,-1894.06128178564
