"truth_form","fit_result","n","median_B","median_1mB","median_ta","q25_ta","q75_ta"
"OU truth","Usable",100,0.999897527567102,0.000102472432897682,116.894008267791,98.2035196625027,141.186765720728
"MSE truth","Non-usable",76,0.999838321000553,0.000161678999447468,41.1661202426011,17.46197496599,114.387058072535
"MSE truth","Degenerate",24,0.999999999962021,3.79793974047971e-11,182.612178830994,175.526183474719,200
"RS truth","Usable",100,0.999900605125001,9.93948749992146e-05,176.441745443005,163.881069385925,191.719856766691
