"direction","tv","B","one_minus_B","ta","d","rho","gamma"
"MSE truth -> RS",0.0657624956755446,0.996332148760412,0.00366785123958768,6.36020709698102,NA,NA,NA
"RS truth -> MSE",0.0444125596611688,NA,NA,NA,0.00951264442394334,0.89137836100165,0.213543221083075
