"truth_form","rep","n_fit","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","degenerate","usable","min_sd","B","one_minus_B","ta","fit_result"
"OU truth",31,4455,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00515813084779458,0.999756743239721,0.000243256760279253,55.6055770100836,"Usable"
"OU truth",32,3378,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00595310661130095,0.99991455179349,8.54482065101303e-05,145.528000721376,"Usable"
"OU truth",33,4147,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00525167331364927,0.999841055238568,0.000158944761431523,82.5368367926715,"Usable"
"OU truth",34,2649,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00661269330797653,0.999859267686558,0.000140732313441583,75.7753370850286,"Usable"
"OU truth",35,6409,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0046460261861503,0.999925570683877,7.44293161234477e-05,158.662399175301,"Usable"
"OU truth",36,2554,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00680002822026723,0.999860379087221,0.00013962091277897,93.6505386738019,"Usable"
"OU truth",37,6747,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00401364234379314,0.999947017825306,5.29821746935166e-05,183.857973129907,"Usable"
"OU truth",38,2499,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0068940265317897,0.9999161282119,8.38717881000983e-05,141.953532046351,"Usable"
"OU truth",39,5235,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00484798485532194,0.999934872793906,6.51272060941954e-05,176.606108479671,"Usable"
"OU truth",40,2839,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00628367729436388,0.99987518849598,0.000124811504020217,105.224178891128,"Usable"
"OU truth",41,3922,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00535712974746892,0.999934727824074,6.52721759260011e-05,170.028964319685,"Usable"
"OU truth",42,4488,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00519383795947498,0.999877993347192,0.000122006652808038,97.418986592186,"Usable"
"OU truth",43,6526,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00432416670324764,0.999907438347507,9.25616524933837e-05,124.741754120761,"Usable"
"OU truth",44,6602,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00425480870825375,0.999920951574477,7.90484255227542e-05,140.931176945521,"Usable"
"OU truth",45,5854,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00471105242194573,0.999936309750343,6.36902496566893e-05,151.559225154308,"Usable"
"OU truth",46,4076,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00537197778075177,0.999863896137731,0.000136103862269255,89.2084879469621,"Usable"
"OU truth",47,3503,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0062276631672925,0.999908614839496,9.13851605042204e-05,125.411434765312,"Usable"
"OU truth",48,2380,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00721242674976789,0.999902217581389,9.77824186111365e-05,115.548412142678,"Usable"
"OU truth",49,3415,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00595378348298887,0.999900792698108,9.920730189239e-05,116.787987521147,"Usable"
"OU truth",50,2551,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00686591318516926,0.99988385479504,0.00011614520495995,96.0286922244324,"Usable"
"OU truth",51,2600,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00702140588660343,0.999865112677795,0.000134887322204569,90.4163266258102,"Usable"
"OU truth",52,3210,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00611025251751072,0.999941548626417,5.84513735825132e-05,174.617934529741,"Usable"
"OU truth",53,2536,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00674028788107857,0.999910172663099,8.9827336901438e-05,131.196680023544,"Usable"
"OU truth",54,4022,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00541258685881353,0.999896365940308,0.000103634059692159,117.000029014435,"Usable"
"OU truth",55,2319,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00719562893460056,0.999882456027687,0.000117543972312673,87.5482672712401,"Usable"
"OU truth",56,6299,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00420692386020049,0.999907549862238,9.24501377623788e-05,121.28152412283,"Usable"
"OU truth",57,3674,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00594490135948841,0.999875794502504,0.000124205497496144,103.673435150922,"Usable"
"OU truth",58,3127,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00621861452847143,0.999873658181422,0.000126341818578402,85.574970268702,"Usable"
"OU truth",59,3872,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00567286810484946,0.999848264175386,0.000151735824614141,76.7628270619458,"Usable"
"OU truth",60,6617,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00445195354466329,0.9998955896644,0.000104410335600047,125.630863490926,"Usable"
"OU truth",61,2618,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00655879708676391,0.999923727116876,7.62728831241732e-05,166.942435262152,"Usable"
"OU truth",62,2513,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00680353692937687,0.999898145732275,0.00010185426772491,128.257603843361,"Usable"
"OU truth",63,2465,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00711752973481247,0.999831339281624,0.000168660718375513,69.2146980556514,"Usable"
"OU truth",64,2622,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0066697000002139,0.999856478881023,0.000143521118976531,91.461512288398,"Usable"
"OU truth",65,6796,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00426398242314439,0.999889221865492,0.000110778134507772,109.165845817938,"Usable"
"OU truth",66,1986,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00729932178629541,0.999921956100002,7.80438999983257e-05,153.007851488987,"Usable"
"OU truth",67,5114,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00482587205745842,0.999918103345794,8.1896654206215e-05,143.837712828013,"Usable"
"OU truth",68,2403,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00704785769282269,0.99988163633002,0.000118363669980082,104.61114929016,"Usable"
"OU truth",69,1984,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.007415366888656,0.999902708862143,9.72911378569474e-05,129.565816633716,"Usable"
"OU truth",70,2533,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00668678320659111,0.999846869575015,0.000153130424985104,85.0812739604143,"Usable"
"OU truth",71,4037,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00552068260275727,0.999892762745011,0.000107237254988513,103.71785712132,"Usable"
"OU truth",72,3891,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00583913945636796,0.999875633243759,0.000124366756240946,101.312461102959,"Usable"
"OU truth",73,2763,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00657338250284864,0.999852873891835,0.000147126108164586,83.487143160999,"Usable"
"OU truth",74,3622,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00578116837937202,0.999955041439353,4.49585606470126e-05,248.215663982349,"Usable"
"OU truth",75,3862,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00567357341248378,0.999909402058047,9.05979419532077e-05,123.531731351223,"Usable"
"OU truth",76,2494,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00693644924147925,0.999864251008024,0.000135748991976103,86.0508682628724,"Usable"
"OU truth",77,6046,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00416609142356598,0.999949918136622,5.00818633779598e-05,210.689604169368,"Usable"
"OU truth",78,5286,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00503111413488393,0.999915445842737,8.45541572630504e-05,151.439641143594,"Usable"
"OU truth",79,2818,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00637081381720818,0.999948180455382,5.18195446175262e-05,205.56066081925,"Usable"
"OU truth",80,2651,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00690628571744855,0.999824605481865,0.000175394518134642,86.4702627680179,"Usable"
"OU truth",81,3487,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00592113826748779,0.999934828848067,6.51711519332743e-05,166.839110596626,"Usable"
"OU truth",82,2687,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00673300898715858,0.99990494962973,9.50503702699113e-05,123.165894347813,"Usable"
"OU truth",83,10381,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00326142582399024,0.999961620513049,3.83794869506238e-05,282.970784975027,"Usable"
"OU truth",84,5888,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00479733419706911,0.999879489203701,0.000120510796299378,100.295570141267,"Usable"
"OU truth",85,2248,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00715847089860963,0.999841011913965,0.000158988086035095,77.2618751498764,"Usable"
"OU truth",86,3336,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00570315729597239,0.999956041618055,4.39583819445977e-05,245.015873916863,"Usable"
"OU truth",87,2593,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00680276387312275,0.999895873698021,0.000104126301978646,112.342199540814,"Usable"
"OU truth",88,4209,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00554590067106456,0.999914104400589,8.58955994113009e-05,128.424493297876,"Usable"
"OU truth",89,2098,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00714431672323309,0.999898958870881,0.00010104112911935,117.824579448316,"Usable"
