"model_a","model_b","lml_a","lml_b","delta_lml","bf_a_vs_b","preferred_model"
"ou","mse",-12576.6619649713,-12580.1751203215,3.51315535016147,33.5539754657691,"ou"
"ou","rate_state",-12576.6619649713,-12673.2734099734,96.6114450020577,9.07439026352943e+41,"ou"
"mse","rate_state",-12580.1751203215,-12673.2734099734,93.0982896518963,2.70441583674247e+40,"mse"
