"kernel","n_fit","n_pre_mainshock","n_post_mainshock","n_forecast","n_total","max_magnitude","max_generation","rep","seed"
"rate_state",4984,181,4803,92,5076,7.1,14,32,910096
"ou",3231,145,3086,213,3444,7.1,11,33,910097
"mse",1446,225,1221,133,1579,7.1,8,33,910098
"rate_state",1738,180,1558,269,2007,7.1,11,33,910099
"ou",1654,373,1281,680,2334,7.1,12,34,910100
"mse",1191,145,1046,92,1283,7.1,9,34,910101
"rate_state",2470,449,2021,97,2567,7.1,12,34,910102
"ou",4734,150,4584,372,5106,7.1,20,35,910103
"mse",4481,228,4253,104,4585,7.1,17,35,910104
"rate_state",1922,228,1694,507,2429,7.1,12,35,910105
"ou",5894,1261,4633,588,6482,7.1,16,36,910106
"mse",1912,491,1421,246,2158,7.1,10,36,910107
"rate_state",2667,1348,1319,218,2885,7.1,17,36,910108
"ou",3507,217,3290,272,3779,7.1,15,37,910109
"mse",1170,177,993,277,1447,7.1,8,37,910110
"rate_state",3253,169,3084,120,3373,7.1,10,37,910111
"ou",2123,557,1566,204,2327,7.1,10,38,910112
"mse",4291,201,4090,99,4390,7.1,13,38,910113
"rate_state",4363,348,4015,111,4474,7.1,19,38,910114
"ou",1954,675,1279,305,2259,7.1,10,39,910115
"mse",4639,205,4434,92,4731,7.1,18,39,910116
"rate_state",1831,175,1656,174,2005,7.1,13,39,910117
"ou",2427,245,2182,1468,3895,7.1,15,40,910118
"mse",2063,156,1907,74,2137,7.1,12,40,910119
"rate_state",1261,135,1126,155,1416,7.1,8,40,910120
"ou",5188,134,5054,450,5638,7.1,27,41,910121
"mse",1705,126,1579,87,1792,7.1,8,41,910122
"rate_state",6868,160,6708,231,7099,7.1,24,41,910123
"ou",4559,174,4385,420,4979,7.1,25,42,910124
"mse",2022,202,1820,100,2122,7.1,9,42,910125
"rate_state",1953,177,1776,208,2161,7.1,12,42,910126
"ou",4361,395,3966,418,4779,7.1,20,43,910127
"mse",1986,203,1783,5448,7434,7.1,24,43,910128
"rate_state",1404,184,1220,266,1670,7.1,8,43,910129
"ou",1622,237,1385,519,2141,7.1,9,44,910130
"mse",5966,274,5692,183,6149,7.1,15,44,910131
"rate_state",2813,468,2345,85,2898,7.1,15,44,910132
"ou",1274,179,1095,162,1436,7.1,8,45,910133
"mse",1760,264,1496,461,2221,7.1,11,45,910134
"rate_state",2627,163,2464,434,3061,7.1,12,45,910135
"ou",5700,3923,1777,1194,6894,7.1,21,46,910136
"mse",5105,145,4960,79,5184,7.1,18,46,910137
"rate_state",2367,242,2125,67,2434,7.1,10,46,910138
"ou",6056,159,5897,494,6550,7.1,21,47,910139
"mse",1565,195,1370,129,1694,7.1,10,47,910140
"rate_state",1782,153,1629,94,1876,7.1,12,47,910141
"ou",1941,263,1678,447,2388,7.1,16,48,910142
"mse",1932,139,1793,173,2105,7.1,13,48,910143
"rate_state",3599,730,2869,265,3864,7.1,12,48,910144
"ou",1298,206,1092,354,1652,7.1,8,49,910145
"mse",2685,212,2473,98,2783,7.1,14,49,910146
"rate_state",5569,2806,2763,106,5675,7.1,16,49,910147
"ou",1138,190,948,320,1458,7.1,11,50,910148
"mse",1781,204,1577,159,1940,7.1,9,50,910149
"rate_state",4725,331,4394,153,4878,7.1,15,50,910150
"ou",1646,214,1432,432,2078,7.1,17,51,910151
"mse",7910,148,7762,90,8000,7.1,20,51,910152
"rate_state",2034,175,1859,266,2300,7.1,12,51,910153
"ou",1311,304,1007,974,2285,7.1,8,52,910154
"mse",1097,153,944,84,1181,7.1,8,52,910155
"rate_state",4342,483,3859,947,5289,7.1,22,52,910156
"ou",4803,581,4222,254,5057,7.1,15,53,910157
"mse",1374,209,1165,131,1505,7.1,10,53,910158
"rate_state",1315,322,993,1313,2628,7.1,21,53,910159
"ou",1738,131,1607,162,1900,7.1,8,54,910160
"mse",2127,173,1954,88,2215,7.1,12,54,910161
"rate_state",2159,216,1943,322,2481,7.1,10,54,910162
"ou",1534,593,941,313,1847,7.1,9,55,910163
"mse",2307,236,2071,81,2388,7.1,14,55,910164
"rate_state",5873,127,5746,2673,8546,7.1,21,55,910165
"ou",2252,187,2065,142,2394,7.1,10,56,910166
"mse",2504,332,2172,310,2814,7.1,15,56,910167
"rate_state",2154,859,1295,320,2474,7.1,10,56,910168
"ou",1445,330,1115,1688,3133,7.1,23,57,910169
"mse",6670,295,6375,76,6746,7.1,17,57,910170
"rate_state",3053,500,2553,93,3146,7.1,12,57,910171
"ou",1775,380,1395,626,2401,7.1,11,58,910172
"mse",2608,293,2315,94,2702,7.1,10,58,910173
"rate_state",1716,142,1574,550,2266,7.1,14,58,910174
"ou",1931,247,1684,228,2159,7.1,10,59,910175
"mse",1487,209,1278,189,1676,7.1,7,59,910176
"rate_state",3983,1250,2733,582,4565,7.1,11,59,910177
"ou",2412,288,2124,176,2588,7.1,17,60,910178
"mse",1806,189,1617,95,1901,7.1,12,60,910179
"rate_state",2082,232,1850,130,2212,7.1,13,60,910180
"ou",1845,144,1701,208,2053,7.1,19,61,910181
"mse",2040,297,1743,497,2537,7.1,15,61,910182
