"kernel","ts","magnitudes","gen"
"ou",-191.897845577716,5.91709655137354,2
"ou",0.0275163603162755,5.79294590608221,0
"ou",11.1120233817072,5.67566336979383,0
"ou",38.8600266841856,5.66655590941395,2
"ou",1077.33652170305,5.51335310281107,2
"ou",1612.43793635111,5.36896112942589,5
"ou",1077.53206451677,5.2358953609373,4
"ou",0.0310842728560539,5.23492258966002,0
"ou",1612.40625599409,5.21469188806451,4
"ou",1039.53843198926,5.1531815860833,1
"mse",999.49409457034,7.0417313306995,2
"mse",1112.62500653265,6.75561025512788,3
"mse",-828.295884578758,6.01862352620949,4
"mse",-828.29291070446,5.96277484683378,5
"mse",318.953576531936,5.71699193937983,3
"mse",0.00475916302610963,5.5600148862744,0
"mse",1266.99538357417,5.48985334763564,4
"mse",1021.8540213653,5.48422958321657,3
"mse",1029.57242770229,5.47405933203193,6
"mse",318.917857650351,5.44420123407402,2
"rate_state",7.15255441336697,6.49157888116863,2
"rate_state",167.423639793863,6.33371432301738,5
"rate_state",7.11886694997052,6.31987140537766,2
"rate_state",458.675204291108,6.29841182035193,3
"rate_state",50.0098845134784,6.27246153573635,2
"rate_state",1012.01574739029,6.20637670429271,5
"rate_state",0.0244111054772499,6.08117592131196,0
"rate_state",167.406879163846,6.06333521030448,4
"rate_state",-92.6121715718336,6.06238936415077,2
"rate_state",1042.20462297716,5.93864852091495,7
