"truth_kernel","fitted_kernel","rep","posterior_mean_tv","posterior_q025_tv","posterior_q10_tv","posterior_median_tv","posterior_q90_tv","posterior_q975_tv","posterior_iqr_tv"
"mse","mse",1,0.0232465457985884,0.00793381999136941,0.0123174184238276,0.0225374240483352,0.0345405636856578,0.0412695939222829,0.0114095698402246
"mse","mse",2,0.0361430077895027,0.0216446261581317,0.0265351914909067,0.0358966086001132,0.0457067017741591,0.0520861431338966,0.0107310955913997
"mse","mse",3,0.0252818875611053,0.0089484253923594,0.0132854884687276,0.0246426285628742,0.0377441100623943,0.0446812622973301,0.0129808481217143
"mse","mse",4,0.0231169361804621,0.0061205872448262,0.0111837052765459,0.0224207161497046,0.0367270328802345,0.043512012880824,0.0138895626153262
"mse","mse",5,0.0218804564949046,0.00695913240556257,0.0110110181709807,0.0211402157191245,0.0342828097471964,0.041393237500536,0.0123472769731732
"mse","mse",6,0.011371095133318,0.00369144677877352,0.00561915919363736,0.0106187809408877,0.017936619557455,0.0231850005904346,0.00642538357037293
"mse","mse",7,0.0231637691154728,0.00837522902381204,0.0129323841541514,0.0225363230190109,0.0339844576326581,0.041168556946486,0.0111600323844502
"mse","mse",8,0.0264705125078019,0.014964709953616,0.0182998563604772,0.0260768752477669,0.0355409685411949,0.0419533528844762,0.00913904038328221
"mse","mse",9,0.021738956890711,0.00840839880907453,0.0117783929285402,0.0213105933606257,0.0318070642686691,0.0378617910950725,0.0103932127784695
"mse","mse",10,0.0209682562806994,0.00765407175600987,0.0114542162611756,0.0203986323991248,0.0306407289551867,0.0368228149424239,0.0108070205599275
"mse","mse",11,0.0261093160221726,0.0114852757310896,0.0158579882038633,0.0260965221448586,0.0359181787990767,0.0414822366492182,0.0102440472350334
"mse","mse",12,0.0312469185674142,0.015381177547467,0.0205271662352514,0.0306629117128148,0.0433722546278362,0.0501610770088453,0.0116966455008617
"mse","mse",13,0.0157519732003228,0.00483454845011347,0.007718238214842,0.0149541253988205,0.0250665680122174,0.0294195038988191,0.00924180663677861
"mse","mse",14,0.0291180150513403,0.0138828548135159,0.0183444504933105,0.0284690547542883,0.0399369656337699,0.0474803272178544,0.0113100348360448
"mse","mse",15,0.0283278915779362,0.0113667834622673,0.0167994886068676,0.0279529989023757,0.040938419622263,0.0485180316385452,0.0128217417140601
"mse","mse",16,0.0205501729706514,0.00595549998072193,0.00937113676424202,0.0194894198131661,0.032275094514894,0.0407820319002087,0.012477154782024
"mse","mse",17,0.0424395062749577,0.0216381233498885,0.0282487172575942,0.0416329321244734,0.057875873073288,0.0671850024982162,0.0158492552846306
"mse","mse",18,0.0182686003786962,0.00576135682194173,0.0097488956664672,0.0178887883277119,0.027267359580219,0.0321671597584143,0.00907684218400544
"mse","mse",19,0.0225865078380612,0.00836926715516266,0.0127554931950629,0.0220476880419756,0.0333937937342517,0.0389532845986857,0.0111989619515057
"mse","mse",20,0.0234551639254376,0.00787633111537153,0.012448651380842,0.0230836695010805,0.0348381921119877,0.0416663400480079,0.0120834348199251
"mse","mse",21,0.0145467661187798,0.00378887271781296,0.0066916156636458,0.0137940677772384,0.0233135321083519,0.028500019296105,0.00853099476652054
"mse","mse",22,0.0198503627417948,0.00550048516557897,0.00960140604068697,0.0190690344747231,0.0308543845408463,0.0374302397292773,0.0112221407640692
"mse","mse",23,0.021051627508713,0.00801395447604478,0.0117553668787467,0.0204307748691236,0.0312683056447009,0.0363720775148875,0.0100878333797676
"mse","mse",24,0.0157624101181654,0.00486483029085488,0.00827452649842684,0.0155639392818641,0.0233524701018943,0.0284600357957865,0.00828884258496842
"mse","mse",25,0.0199101469416952,0.00747251983963912,0.0112272583757632,0.0188193621219119,0.0303699262515004,0.0361818965540148,0.0100714523598253
"mse","mse",26,0.0275349401095897,0.0107585349538488,0.0165000540245503,0.0272676318466259,0.0400088379374127,0.04491179120662,0.0119700165594803
"mse","mse",27,0.0213247353386937,0.00818951150099317,0.0119806815987916,0.0206499229840008,0.0307041224582412,0.0384221085209662,0.00972078229458946
"mse","mse",28,0.0189682990148199,0.00620077481828146,0.00910885060507016,0.0180971059964705,0.030034362475728,0.0371089597590748,0.0111004233682525
"mse","mse",29,0.0137960605004331,0.00395925980398801,0.00642873301278827,0.0134324241460379,0.0217327670880992,0.0261710004396732,0.0081324119682668
"mse","mse",30,0.015536663778922,0.00577316998829248,0.0082743803755981,0.0152868588916287,0.0231606131371639,0.0272438253413606,0.00761810500068661
"mse","mse",31,0.0273846789861848,0.00871243888774892,0.0137442959923056,0.026704678803349,0.0413745775841984,0.0486693651013505,0.0146040631126919
"mse","mse",32,0.0136432376086042,0.00430065047002024,0.00692761545412228,0.013219592494606,0.0212163982158354,0.0255619953771692,0.00715346425010829
"mse","mse",33,0.0262971057509977,0.0144704884425128,0.0182735570714102,0.0256750200530198,0.0352359265213313,0.040905893021553,0.00893610777245132
"mse","mse",34,0.0299772074491227,0.012866642942703,0.0179227701971793,0.0287351102197194,0.0440182863457444,0.0532916282201437,0.0139427641686824
"mse","mse",35,0.0230902727483451,0.00827673088693297,0.0124738208486322,0.0228553707366459,0.0333947875736896,0.0387788532585792,0.011308797469368
"mse","mse",36,0.0165921702364663,0.00436142430945724,0.0075888125052374,0.0157966383164221,0.0261797949443582,0.033109724598367,0.0103906293936416
"mse","mse",37,0.026027182333209,0.00864720837270081,0.0138532391612737,0.025676461986444,0.0383045878573584,0.0457225672708185,0.0134063062176374
"mse","mse",38,0.0263635584473491,0.014833744429405,0.0181598367380875,0.0259159661716741,0.0351665820277871,0.0411507949641611,0.00892059159991304
"mse","mse",39,0.0200068652463684,0.00874942074448589,0.012618685985736,0.019811477683227,0.0279979115513645,0.0320986038589879,0.0077711910742678
"mse","mse",40,0.0168121900624018,0.00462258862379278,0.00741484929682819,0.0162808972193945,0.0273470570642762,0.0333906520500303,0.0100970917840358
"mse","mse",41,0.0230771839316616,0.00933254674001069,0.0131738264172443,0.0228126248069013,0.0336012871479589,0.0390214411162658,0.0108454822124191
"mse","mse",42,0.0222251456111256,0.00597660794289633,0.0108966806480213,0.021441764539247,0.0342201785434391,0.0415281863148272,0.0136182802817813
"mse","mse",43,0.0146565617701809,0.00508057187309847,0.00761629400688194,0.0140189285500763,0.022577917099721,0.0286167087624325,0.00786665332923442
"mse","mse",44,0.0188237303977604,0.0072857272325463,0.00975814014387468,0.0179949103574628,0.0286788259048344,0.0352336059427755,0.00993440854949767
"mse","mse",45,0.0245191178523577,0.00691143188967181,0.0112674473429174,0.0235049445261533,0.0393377975663327,0.0491515458455976,0.0146997315397402
"mse","mse",46,0.0137786519838558,0.00353596650105404,0.00605948962343576,0.013199171669549,0.0219046377987441,0.0262452481389291,0.00887675902033313
"mse","mse",47,0.0205842344797,0.00523335384926039,0.00914884108932256,0.0196262388798074,0.0333820064300774,0.0418536642796001,0.0130437505340017
"mse","mse",48,0.0323857600559321,0.0120361044115127,0.0186183016228724,0.0325244026764509,0.045972163381617,0.0517872001666955,0.0145530236488955
"mse","mse",49,0.0147255867434338,0.00519030356051016,0.00815093658526419,0.0140106891738165,0.0227173690752267,0.0273748487696566,0.00736465027351281
"mse","mse",50,0.0146171750335928,0.00368291638370216,0.00640899332645378,0.0136492950603285,0.0244595634927285,0.0301326366869734,0.00929400525942363
"mse","mse",51,0.0110950754408139,0.00328501087498299,0.00523984563122556,0.01090113027275,0.0167466122098837,0.0206086496161402,0.00688497875964759
"mse","mse",52,0.0141395854612668,0.0053838747234196,0.0076270281323991,0.013313927377043,0.0216145335908036,0.0275198388735046,0.00656048208822728
"mse","mse",53,0.0284548723765667,0.0121635857090728,0.0165484692144454,0.0279710542765124,0.0413774121505627,0.0467807779822826,0.0127052827306823
"mse","mse",54,0.026454982099171,0.00810968781808867,0.0139191414561118,0.0262314598034907,0.0388886256452119,0.0463949841565148,0.013170670796076
