"truth_kernel","fitted_kernel","n","median_posterior_tv","q10_posterior_median_tv","q90_posterior_median_tv","median_80_width","median_width"
"mse","mse",100,0.0218181847733988,0.014080304145643,0.0296505580469745,0.0208477850637977,0.0308709648808426
"mse","ou",100,0.0695034916978606,0.0645580463363169,0.0776691817798623,0.00654647052118979,0.0100426751855842
"ou","mse",97,0.0298926632975985,0.021067501148221,0.041143008492896,0.0259451844713531,0.046153569022715
"ou","ou",100,0.0190434605869239,0.0114501770705734,0.0293496446635634,0.0208476667477724,0.0311479979042089
"ou","rate_state",100,0.126888093123326,0.126290071880636,0.128855438477632,0.00253382186726084,0.00454102711231072
"rate_state","mse",76,0.0527555390588754,0.0483503125243163,0.0587361494791346,0.0119234859851183,0.019004708668528
"rate_state","ou",100,0.110232446038559,0.103449848802071,0.125929765870007,0.0074279455613321,0.011481141618961
"rate_state","rate_state",100,0.0141211113200308,0.00866084497910102,0.0277935135277022,0.0151325289276115,0.0228812491016791
