"truth_kernel","fitted_kernel","rep","tv_wrong","tv_correct","delta_tv"
"mse","ou",1,0.0699834062038038,0.0194852838706232,0.0504981223331806
"mse","ou",2,0.0749186432674709,0.0334309243224685,0.0414877189450024
"mse","ou",3,0.0630184030139947,0.0214372408765585,0.0415811621374362
"mse","ou",4,0.0687222472030117,0.016697199809212,0.0520250473937997
"mse","ou",5,0.0627875592679346,0.0172093198801435,0.0455782393877911
"mse","ou",6,0.0695786000394874,0.00661204222616689,0.0629665578133205
"mse","ou",7,0.0665166010082341,0.0205940612885572,0.0459225397196769
"mse","ou",8,0.0789478212839991,0.0230779876813945,0.0558698336026046
"mse","ou",9,0.0694214206875028,0.018303583117567,0.0511178375699358
"mse","ou",10,0.0701300923916783,0.0174378964620597,0.0526921959296186
"mse","ou",11,0.07638438908541,0.0234965908745202,0.0528877982108898
"mse","ou",12,0.0857607014055999,0.0286937114730063,0.0570669899325936
"mse","ou",13,0.0686667683312981,0.0130797697480946,0.0555869985832035
"mse","ou",14,0.0626068849211595,0.024460123938502,0.0381467609826575
"mse","ou",15,0.0776405865603409,0.0254926562944266,0.0521479302659143
"mse","ou",16,0.0670221496782813,0.0135356915866723,0.053486458091609
"mse","ou",17,0.0660292212059084,0.0373063628322771,0.0287228583736313
"mse","ou",18,0.0684578460794989,0.0153649734993636,0.0530928725801353
"mse","ou",19,0.0666965688233353,0.01895009204472,0.0477464767786153
"mse","ou",20,0.0708570204415545,0.0174812264644923,0.0533757939770622
"mse","ou",21,0.0669199341677058,0.00365394821984999,0.0632659859478558
"mse","ou",22,0.0711849511381503,0.015436703456465,0.0557482476816853
"mse","ou",23,0.0799295751003464,0.0170623172172862,0.0628672578830602
"mse","ou",24,0.0699790969937001,0.0120393305475666,0.0579397664461335
"mse","ou",25,0.0719870551969391,0.0140956283848082,0.0578914268121309
"mse","ou",26,0.0774507032316543,0.0249829200930391,0.0524677831386152
"mse","ou",27,0.0704953753556733,0.0127227402441567,0.0577726351115166
"mse","ou",28,0.0650279883120354,0.00569825729724282,0.0593297310147926
"mse","ou",29,0.071118496158679,0.00970747074434335,0.0614110254143356
"mse","ou",30,0.0744868312373104,0.0115334695919377,0.0629533616453727
"mse","ou",31,0.0661059710435722,0.0226020818659122,0.04350388917766
"mse","ou",32,0.0732948571760293,0.00880683247806528,0.064488024697964
