"truth_kernel","fitted_kernel","n","median_tv_wrong","q10_tv_wrong","q90_tv_wrong","median_tv_correct","median_delta_tv","q10_delta_tv","q90_delta_tv","prop_wrong_better"
"mse","ou",100,0.0689463172264632,0.0641240910865711,0.0774648018781734,0.0173431086332025,0.0529903353955126,0.0414033146944674,0.0628758682592914,0
"ou","mse",97,0.0267433412299324,0.0175520838768089,0.0388378256162896,0.016046082530841,0.0111663463436009,-0.000479081579041456,0.0215846460074712,0.11340206185567
"ou","rate_state",100,0.12669385417312,0.126023862148576,0.128659026670321,0.0158954098297117,0.111580160467795,0.0988856458168164,0.119438230022184,0
"rate_state","mse",76,0.0514748463154845,0.0461909772899804,0.0569702933281121,0.0125487062399365,0.0367528673924319,0.0274536849218233,0.0439601495257641,0
"rate_state","ou",100,0.10962484576276,0.102534417953936,0.126131027182997,0.0116973941943022,0.097865955791109,0.0854990136923685,0.115831591777713,0
