"fitted_kernel","n_fit","lml","runtime_minutes","fit_status","converged","posterior_valid","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","n_degenerate","file"
"ou",3339,-12576.6619648042,2.8620139837265,"converged",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,59,0,"fit_ou.rds"
"mse",3339,-12580.1751203538,3.36148348649343,"converged",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,54,0,"fit_mse.rds"
"rate_state",3339,-12673.2734098875,3.25807183583577,"converged",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,58,0,"fit_rate_state.rds"
