"quantity","q05.5.","median.50.","q95.95."
"ou_c",0.0482765008113347,0.497881724382751,0.952119260409381
"ou_p",1.04944308813429,1.50254611950368,1.94766953694634
"ou_G_0_T",0.0963830225099227,0.956318119687656,4.16625778377558
"mse_d",0.0529422192834318,0.493267899844795,0.949445220583584
"mse_rho",0.281496842273429,1.5002131948237,7.71609883052514
"mse_gamma",0.0470973366056569,0.49287182209082,0.952553281909786
"mse_G_0_T",0.14109387741829,1.00678114885319,6.20628072602218
"rs_B",0.997206732295982,0.999443903957708,0.999889917350962
"rs_ta",89.4889694818674,199.316185177431,457.52383957414
"rs_G_0_T",0.158618181106061,0.843752554274136,4.2980125850337
