"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","converged","hit_max","n_iter","n_cpo_fail","status","error","file","fit_file","min_sd","degenerate"
"ou","rate_state",11,1011,1000033,2214,0.445478916168213,TRUE,FALSE,6,1,"existing",NA,"rep_0011_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0011_fit_rate_state.rds",1.83628127637079e-30,TRUE
"ou","mse",12,1012,1000035,2458,2.3440175652504,TRUE,FALSE,25,0,"existing",NA,"rep_0012_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0012_fit_mse.rds",0.00540575942923714,FALSE
"ou","rate_state",12,1012,1000036,2458,2.18952753543854,TRUE,FALSE,26,0,"existing",NA,"rep_0012_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0012_fit_rate_state.rds",0.00535605494874653,FALSE
"ou","mse",13,1013,1000038,6385,14.1013891498248,TRUE,FALSE,42,0,"existing",NA,"rep_0013_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0013_fit_mse.rds",0.00347342422166393,FALSE
"ou","rate_state",13,1013,1000039,6385,3.93692153294881,TRUE,FALSE,14,1,"existing",NA,"rep_0013_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0013_fit_rate_state.rds",2.13587530024254e-18,TRUE
"ou","mse",14,1014,1000041,2116,0.550308799743652,TRUE,FALSE,7,0,"existing",NA,"rep_0014_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0014_fit_mse.rds",1.20921276647567e-38,TRUE
"ou","rate_state",14,1014,1000042,2116,2.11508586804072,TRUE,FALSE,33,0,"existing",NA,"rep_0014_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0014_fit_rate_state.rds",0.00525065451081482,FALSE
"ou","mse",15,1015,1000044,4240,33.3818071484566,FALSE,TRUE,100,1,"existing",NA,"rep_0015_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0015_fit_mse.rds",0.00426726697893925,FALSE
"ou","rate_state",15,1015,1000045,4240,12.6372405687968,FALSE,TRUE,100,1,"existing",NA,"rep_0015_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0015_fit_rate_state.rds",0.0052076354826152,FALSE
"ou","mse",16,1016,1000047,4142,7.22034735282262,TRUE,FALSE,37,0,"existing",NA,"rep_0016_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0016_fit_mse.rds",0.00416796922699216,FALSE
"ou","rate_state",16,1016,1000048,4142,6.20577401717504,TRUE,FALSE,42,0,"existing",NA,"rep_0016_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0016_fit_rate_state.rds",0.00414379536228494,FALSE
"ou","mse",17,1017,1000050,2386,2.1566076318423,TRUE,FALSE,27,0,"existing",NA,"rep_0017_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0017_fit_mse.rds",0.00533604782232286,FALSE
"ou","rate_state",17,1017,1000051,2386,2.21207186778386,TRUE,FALSE,33,0,"existing",NA,"rep_0017_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0017_fit_rate_state.rds",0.00530388072180457,FALSE
"ou","mse",18,1018,1000053,2624,2.18496073484421,TRUE,FALSE,26,0,"existing",NA,"rep_0018_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0018_fit_mse.rds",0.0050908554899618,FALSE
"ou","rate_state",18,1018,1000054,2624,0.861147197087606,TRUE,FALSE,9,1,"existing",NA,"rep_0018_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0018_fit_rate_state.rds",5.06095016371002e-30,TRUE
"ou","mse",19,1019,1000056,2998,4.3073978304863,TRUE,FALSE,33,0,"existing",NA,"rep_0019_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0019_fit_mse.rds",0.00493500778166763,FALSE
"ou","rate_state",19,1019,1000057,2998,7.23237388134003,TRUE,FALSE,70,0,"existing",NA,"rep_0019_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0019_fit_rate_state.rds",0.00495008160977413,FALSE
"ou","mse",20,1020,1000059,2032,2.33856074810028,TRUE,FALSE,32,0,"existing",NA,"rep_0020_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0020_fit_mse.rds",0.00597733849251161,FALSE
"ou","rate_state",20,1020,1000060,2032,3.12281609773636,TRUE,FALSE,51,0,"existing",NA,"rep_0020_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0020_fit_rate_state.rds",0.00604011779010038,FALSE
