"model_a","model_b","lml_a","lml_b","delta_lml","bf_a_vs_b","preferred_model"
"ou","mse",-12576.6619650336,-12580.1751203446,3.51315531096589,33.5539741506015,"ou"
"ou","rate_state",-12576.6619650336,-12673.2734099659,96.6114449322813,9.07438963035087e+41,"ou"
"mse","rate_state",-12580.1751203446,-12673.2734099659,93.0982896213154,2.70441575403914e+40,"mse"
