"truth_form","fitted_form","n_fits","median_runtime","q25_runtime","q75_runtime","p90_runtime"
"ou","ou",100,3.67352733413379,2.69417600035667,5.37821942567825,12.0672200254599
"ou","mse",100,6.26141630212466,4.73475253184636,10.9330398023128,21.1942409912745
"ou","rate_state",100,6.29942268331846,2.75436487495899,11.9107302188873,22.3501595520973
"mse","ou",100,3.7446200589339,1.88105792899926,6.49438189665477,13.0562072010835
"mse","mse",100,4.5611438413461,2.51807622015476,8.70406860907872,18.1422362844149
"mse","rate_state",100,13.1770854830742,8.51562107404073,21.3399710228045,34.588676156203
"rate_state","ou",100,3.61127160986265,2.29290917515755,5.24992788732052,8.54384762803713
"rate_state","mse",100,6.97469859321912,4.3815595070521,11.3957964420319,17.3585573422909
"rate_state","rate_state",100,4.19349066615104,2.3272299538056,6.13781637946765,10.3617443970839
