"model_a","model_b","lml_a","lml_b","delta_lml","bf_a_vs_b","preferred_model"
"ou","mse",-12576.6619648042,-12580.1751203538,3.51315554964094,33.5539821590991,"ou"
"ou","rate_state",-12576.6619648042,-12673.2734098875,96.6114450833502,9.07439100120893e+41,"ou"
"mse","rate_state",-12580.1751203538,-12673.2734098875,93.0982895337092,2.70441551711565e+40,"mse"
